E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_au,Q_absolute_au
662.0,268.22729064799245,393.77270935200755,30.0,450.1507946317017,59.53930126426004,59.53930126426004
662.0,606.6052571364819,55.394742863518104,30.0,332.6704869768756,-21.797052941515496,21.797052941515496
662.0,494.4093095426229,167.5906904573771,30.0,340.2736139126755,21.875850258394976,21.875850258394976
662.0,612.1112012797081,49.8887987202919,30.0,333.26659748930354,-24.182792058403813,24.182792058403813
662.0,193.32769016586516,468.6723098341348,30.0,503.93120262805127,59.9029126626051,59.9029126626051
662.0,574.2878867141541,87.71211328584593,30.0,331.0014479982031,-8.072901849090655,8.072901849090655
662.0,491.5088397985127,170.49116020148728,30.0,340.9578219077992,22.81480483004714,22.81480483004714
662.0,267.0305023733736,394.9694976266264,30.0,450.9627547786394,59.57828606259866,59.57828606259866
662.0,199.60227696620822,462.39772303379175,30.0,499.2169651486335,60.01621232566689,60.01621232566689
662.0,247.5280786109627,414.47192138903733,30.0,464.42877785967033,60.047342485364084,60.047342485364084
662.0,509.65029691704933,152.34970308295067,30.0,337.06587964079233,16.749803646825224,16.749803646825224
662.0,526.1714975073069,135.82850249269313,30.0,334.3395383704088,10.846402933024141,10.846402933024141
662.0,318.40965131140183,343.59034868859817,30.0,417.7733653841326,56.70907452668952,56.70907452668952
662.0,509.4942630028374,152.50573699716261,30.0,337.09538314966835,16.803880225539828,16.803880225539828
662.0,495.24316209742153,166.75683790257847,30.0,340.0812351821769,21.603709201099893,21.603709201099893
662.0,284.24873033448756,377.75126966551244,30.0,439.4504908173078,58.89657661509026,58.89657661509026
662.0,194.67449749743542,467.3255025025646,30.0,502.9164424995101,59.92916545367232,59.92916545367232
662.0,586.5250215908894,75.47497840911058,30.0,331.2637439499206,-13.201194406931236,13.201194406931236
662.0,375.5179142687342,286.4820857312658,30.0,385.59336265555646,50.13120567045306,50.13120567045306
662.0,221.16662034625764,440.8333796537423,30.0,483.2857610970345,60.2220023551909,60.2220023551909
662.0,283.75479866275924,378.24520133724076,30.0,439.77554469529554,58.91984520322869,58.91984520322869
662.0,278.0083028677606,383.9916971322394,30.0,443.58019999440285,59.17414765617001,59.17414765617001
662.0,401.21620941396384,260.78379058603616,30.0,373.0641576067589,45.7890748773105,45.7890748773105
662.0,444.33029633953396,217.66970366046604,30.0,355.2414092846104,36.34942389105115,36.34942389105115
662.0,480.5739143772915,181.4260856227085,30.0,343.7451995607602,26.246127172910228,26.246127172910228
662.0,272.13551845396677,389.86448154603323,30.0,447.5112914117291,59.403429547922364,59.403429547922364
662.0,456.24472646774996,205.75527353225004,30.0,351.0911581963033,33.246810631206536,33.246810631206536
662.0,245.3712225248009,416.62877747519906,30.0,465.94427356757774,60.08071982709219,60.08071982709219
662.0,341.33564029730707,320.66435970269293,30.0,404.19370956409114,54.54275033639799,54.54275033639799
662.0,426.58523232702856,235.41476767297144,30.0,362.0618875121704,40.5711948345028,40.5711948345028
662.0,293.35206327842116,368.64793672157884,30.0,433.5167633728429,58.426741769296065,58.426741769296065
