Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(2),J_total_Titanium
0.0,0.03986270562112376,0.15499965708188326,0.44155206304473155,0.07981277354723447,0.28266447905888,0.26978187244297214,1.7556191815232407,0.07972541124224752,0.3099993141637665,0.4788766412834068,0.8831041260894631,1.69598687435328,3.5112383630464814,0.5395637448859443,7.498494475064589
0.05,0.0398620373482167,0.15496195681329808,0.44060773704983724,0.07981277107704034,0.2826632333721146,0.269781852406831,1.7030458797205774,0.0797240746964334,0.30992391362659616,0.47887662646224205,0.8812154740996745,1.6959794002326873,3.406091759441155,0.539563704813662,7.39137495337245
0.1,0.039860032407012136,0.15484890061571874,0.4377887147159672,0.07981274886567473,0.28265211537629076,0.2697812115156505,1.5554633410052725,0.07972006481402427,0.3096978012314375,0.47887649319404835,0.8755774294319344,1.6959126922577445,3.110926682010545,0.539562423031301,7.090273585971035
0.15000000000000002,0.039856690497014215,0.15466062983781512,0.43313624102052883,0.07981266261197924,0.28260943948811607,0.26977611986575506,1.3398236298966195,0.07971338099402843,0.30932125967563023,0.47887597567187545,0.8662724820410577,1.6956566369286965,2.679647259793239,0.5395522397315101,6.649039234836037
0.2,0.039852011312193535,0.15439740173602817,0.426717131434299,0.07981243881474681,0.2825005477169598,0.2697541400783987,1.0912629428860439,0.07970402262438707,0.30879480347205635,0.47887463288848087,0.853434262868598,1.695003286301759,2.1825258857720877,0.5395082801567974,6.137845174084166
0.25,0.03984599474882627,0.15405961189395395,0.41862132056217594,0.07981197526285762,0.28227990371699674,0.2696879135488099,0.8433589149627587,0.07969198949765254,0.3081192237879079,0.47887185157714574,0.8372426411243519,1.6936794223019804,1.6867178299255174,0.5393758270976198,5.623698785312175
0.30000000000000004,0.03983864107196366,0.15364781079741432,0.40895908157658467,0.07981114170098635,0.28189377597713294,0.2695306281348471,0.6210952169797694,0.07967728214392732,0.30729562159482865,0.4788668502059181,0.8179181631531693,1.6913626558627977,1.2421904339595389,0.5390612562696941,5.1563722631898745
0.35000000000000003,0.03982995099109102,0.1531627088581348,0.39785819359691765,0.07980978065343168,0.2812832989500317,0.2692153307069058,0.43821516209052147,0.07965990198218204,0.3063254177162696,0.47885868392059006,0.7957163871938353,1.68769979370019,0.8764303241810429,0.5384306614138116,4.7631211701079215
0.4,0.03981992563775849,0.15260516933113427,0.38546114431440787,0.07980770838733378,0.28038768637287814,0.26865876506248926,0.29835201329577016,0.07963985127551698,0.30521033866226854,0.4788462503240027,0.7709222886288157,1.6823261182372689,0.5967040265915403,0.5373175301249785,4.450966403844392
0.45,0.0398085664730627,0.15197619278257865,0.3719223118342026,0.07980471599708971,0.27914737970259373,0.26776895134977935,0.1981464745652023,0.0796171329461254,0.3039523855651573,0.4788282959825383,0.7438446236684052,1.6748842782155624,0.3962929491304046,0.5355379026995587,4.212957568207752
0.5,0.03979587516825421,0.15127689851713733,0.3574050274278111,0.0798005705937734,0.27750694253081254,0.2664547237308589,0.1306299543761726,0.07959175033650842,0.30255379703427465,0.47880342356264044,0.7148100548556222,1.6650416551848752,0.2612599087523452,0.5329094474617178,4.034970037187984
0.55,0.03978185349765888,0.15050850773344515,0.3420784671715475,0.07979501658626485,0.27541755306498206,0.26463515758103245,0.08786278691675903,0.07956370699531776,0.3010170154668903,0.4787700995175891,0.684156934343095,1.6525053183898923,0.17572557383351806,0.5292703151620649,3.9010089637083674
0.6000000000000001,0.03976650326779803,0.14967233119668052,0.32611440583549717,0.07978777704398134,0.2728389945544081,0.2622471719707075,0.06254058141845069,0.07953300653559606,0.29934466239336105,0.47872666226388805,0.6522288116709943,1.6370339673264485,0.12508116283690138,0.524494343941415,3.7964426169686045
0.65,0.03974982628950109,0.14876976207641177,0.30968394199118104,0.07977855513402551,0.2697410916826484,0.25925031226209233,0.04871996927575689,0.07949965257900218,0.29753952415282353,0.4786713308041531,0.6193678839823621,1.6184465500958907,0.09743993855151378,0.5185006245241847,3.70946550468993
0.7000000000000001,0.03973182438708362,0.14780227304969268,0.29295434215555155,0.0797670356278042,0.26610458454242014,0.2556284909613903,0.041963333952241604,0.07946364877416724,0.29560454609938536,0.4786022137668252,0.5859086843111031,1.5966275072545209,0.08392666790448321,0.5112569819227806,3.6313902500332653
0.75,0.03971249943229601,0.1467714160388602,0.27608615064020636,0.07975288647349071,0.2619214676740789,0.25138906837947805,0.039178010214917874,0.07942499886459202,0.2935428320777204,0.4785173188409443,0.5521723012804127,1.5715288060444736,0.07835602042983575,0.5027781367589561,3.556320414296935
0.8,0.03969185338979988,0.1456788229033064,0.25923068199891036,0.07973576043104934,0.25719484830754524,0.2465599933815493,0.038340335428720444,0.07938370677959976,0.2913576458066128,0.478414562586296,0.5184613639978207,1.5431690898452715,0.07668067085744089,0.4931199867630986,3.48058702663614
0.8500000000000001,0.03966988836329987,0.14452620575812455,0.24252797006707336,0.07971529676601415,0.2519383953384251,0.2411858125326627,0.03821194986232871,0.07933977672659974,0.2890524115162491,0.4782917805960849,0.4850559401341467,1.5116303720305506,0.07642389972465742,0.4823716250653254,3.402165805793614
0.9,0.03964660663512866,0.14331535609114004,0.22610520437810575,0.0796911229970233,0.246175459616778,0.23532326714733576,0.0380968863230756,0.07929321327025732,0.2866307121822801,0.4781467379821398,0.4522104087562115,1.477052757700668,0.0761937726461512,0.4706465342946715,3.320174136832379
0.9500000000000001,0.03962201069566753,0.14204814231959778,0.21007564886317323,0.07966285669051423,0.2399379483048269,0.22903701922604122,0.037653555315516216,0.07924402139133506,0.28409628463919556,0.4779771401430854,0.42015129772634646,1.4396276898289613,0.07530711063103243,0.45807403845208244,3.2344775828120382
1.0,0.039596103261784414,0.1407265057841091,0.1945380120573323,0.07963010729424932,0.23326503302439186,0.22239584996616252,0.03675880211329394,0.07919220652356883,0.2814530115682182,0.47778064376549595,0.3890760241146646,1.3995901981463512,0.07351760422658787,0.44479169993232504,3.1454013882772114
1.05,0.039568887285297435,0.13935245540090094,0.1795762222151304,0.0795924779997,0.22620176485033128,0.21546950249646427,0.03541470941188262,0.07913777457059487,0.2787049108018019,0.4775548679982,0.3591524444302608,1.3572105891019877,0.07082941882376524,0.43093900499292853,3.053529010719539
1.1,0.039540365953426505,0.1379280613009672,0.16525955287753769,0.07954956762194715,0.21879766028016084,0.20832621271531643,0.0336876831620964,0.07908073190685301,0.2758561226019344,0.4772974057316829,0.33051910575507537,1.312785961680965,0.0673753663241928,0.41665242543063286,2.959567119431336
1.1500000000000001,0.03951054268349963,0.1364554478075953,0.1516430422226525,0.07950097248477504,0.21110531221683212,0.20103089018719164,0.03167055630391347,0.07902108536699926,0.2729108956151906,0.47700583490865023,0.303286084445305,1.2666318733009927,0.06334111260782695,0.4020617803743833,2.8642586666193477
1.2000000000000002,0.039479421114066736,0.1349367860737473,0.13876815091866593,0.07944628829809831,0.20317906956684448,0.19364386724579388,0.02946037220479125,0.07895884222813347,0.2698735721474946,0.4766777297885899,0.27753630183733186,1.2190744174010668,0.0589207444095825,0.38728773449158777,2.768329342303787
1.25,0.039447005094236855,0.1333742866439511,0.1266636066265116,0.07938511201477064,0.19507381887127667,0.18622011795044383,0.02714641925777072,0.07889401018847371,0.2667485732879022,0.4763106720886238,0.2533272132530232,1.1704429132276601,0.05429283851554144,0.37244023590088765,2.672456456462112
1.3,0.03941329867263281,0.13177019214013463,0.11534638773536013,0.07931704365414247,0.18684389185753375,0.17880884913726983,0.02480469232320058,0.07882659734526562,0.26354038428026927,0.4759022619248548,0.23069277547072026,1.1210633511452026,0.04960938464640116,0.35761769827453965,2.5772524530872536
1.35,0.039378306086940255,0.13012677020864746,0.10482280373812436,0.07924168808040069,0.17854211418619698,0.17145337552929385,0.02249619151176727,0.07875661217388051,0.2602535404172949,0.47545012848240414,0.20964560747624872,1.071252685117182,0.04499238302353454,0.3429067510585877,2.4832577077491322
