Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_4s_one_electron,J_total_K
0.0,0.046832842623593635,0.18744230900732844,0.569756607579714,0.09649839221163002,0.3756697001629358,2.5118640720273517,6.95293614469602
0.05,0.046831178207422886,0.18737376918966883,0.5677156103943966,0.09649838527364393,0.37566477706819246,2.3804704824520857,6.8172905720860815
0.1,0.04682620084994033,0.18716763930952543,0.5616769217952012,0.09649832299351893,0.3756210481941068,2.028124532252822,6.452182283287911
0.15000000000000002,0.04681795108844838,0.18682272059151944,0.5518618694423546,0.09649808176371785,0.3754544546100499,1.5577189208922917,5.960439221379543
0.2,0.04680647903780395,0.18633791456276644,0.5385614693466998,0.09649745812847922,0.3750339596410583,1.0828244842611614,5.455424716772926
0.25,0.046791833610750955,0.1857130165881268,0.522085333878369,0.09649617235382808,0.37419401138312786,0.6843022754194164,5.017623745995644
0.30000000000000004,0.04677406234667213,0.18494916031107136,0.5027526262953322,0.09649387294221873,0.3727499105007865,0.3950655561424933,4.679479954706676
0.35000000000000003,0.04675321864004192,0.18404883950789153,0.48091136420314873,0.09649014170769923,0.3705143869323377,0.2097854721051382,4.435239488647524
0.4,0.046729369137010424,0.18301564822037872,0.4569574077849401,0.0964844990356172,0.3673136677419123,0.1040566484046461,4.260250499354482
0.45,0.046702596472908996,0.1818539287327864,0.4313353045803669,0.09647640901245409,0.36300151916275836,0.05037313101111042,4.12702435963451
0.5,0.0466729968695759,0.18056845711899872,0.4045205616131502,0.09646528421080879,0.357470116663794,0.02650531004072505,4.013641746491792
0.55,0.046640674762795174,0.17916421750458267,0.37699279642653677,0.09645049003147341,0.3506570642412441,0.017620051665075243,3.9058607546892095
0.6000000000000001,0.04660573696343862,0.17764626459969202,0.3492097569101931,0.09643134861836797,0.34254836975829145,0.015155162630677566,3.7959569898372814
0.65,0.04656828793953363,0.17601965291631896,0.32158800291027956,0.09640714245585515,0.33317761839834886,0.014786407327782943,3.6806468599852717
0.7000000000000001,0.04652842674714047,0.17428940838568235,0.2944916274864786,0.09637711782064352,0.3226219223235965,0.01464627603823712,3.55925944214228
0.75,0.046486245451727436,0.1724605229055649,0.2682277533602715,0.0963404882877973,0.31099543669804874,0.014116882716022308,3.4324814760662266
0.8,0.04644182860957164,0.1705379586556725,0.24304667956994191,0.0962964384840085,0.2984413185962734,0.013131599423090161,3.301611075575154
0.8500000000000001,0.046395253372583226,0.16852665441149417,0.2191447461198601,0.09624412824742891,0.2851229822269447,0.011818703596326117,3.1681546742504425
0.9,0.046346589887210105,0.16643152996231017,0.19666855257779692,0.09618269730074189,0.2712153986980894,0.01034118771458854,3.0336231085622107
0.9500000000000001,0.04629590178293853,0.1642574872139651,0.17571972137932204,0.0961112704822702,0.2568970326971529,0.008836417115265765,2.899432456944256
1.0,0.046243246646134856,0.16200940796125005,0.15635979446540524,0.09602896351755243,0.24234283180580232,0.007401189846680038,2.7668568599323886
1.05,0.04618867644091075,0.15969214898651599,0.13861508470123063,0.09593488925808627,0.22771851115607697,0.006094698865923902,2.637006921608218
1.1,0.04613223787523984,0.15731053535748651,0.12248141417851484,0.09582816426976502,0.21317622397486494,0.004946844914050337,2.510821549204312
1.1500000000000001,0.04607397272662618,0.15486935275985392,0.10792870892883998,0.09570791562359421,0.19885158709520595,0.003966809164308369,2.38906789430775
1.2000000000000002,0.04601391814541291,0.15237333954371335,0.09490542166007097,0.09557328772618714,0.1848619431831899,0.0031501907958681073,2.272346934950525
1.25,0.04595210695133083,0.14982717896987982,0.08334274482407857,0.09542344902627607,0.17130568687384012,0.0024844115524491756,2.161103288443725
1.3,0.04588856793396416,0.14723549195858307,0.07315856824420781,0.09525759844385988,0.15826245576900627,0.0019525832368897076,2.0556381647875965
1.35,0.0458233261626323,0.14460283049078484,0.06426113367737368,0.09507497138780754,0.1457939833170827,0.00153615540333421,1.9561244642942575
1.4000000000000001,0.04575640330681254,0.14193367169845872,0.05655234366140176,0.09487484525270493,0.1339454226220993,0.0012166461522591689,1.8626230907344303
1.4500000000000002,0.04568781796503783,0.13923241260338726,0.049930692274100186,0.0946565443135708,0.12274697235877796,0.000976706145848108,1.7750996518649913
1.5,0.04561758599820087,0.13650336541902977,0.044293798771923625,0.09441944396526399,0.11221566329661126,0.0008007104202442048,1.693440854369804
1.55,0.04554572086220613,0.13375075330999936,0.0395405393280329,0.0941629742799735,0.10235719269647449,0.0006750249939304955,1.617470053853095
1.6,0.0454722339346996,0.13097870650183538,0.03557278554791833,0.09388662287972348,0.09316772139951503,0.0005880572896972684,1.5469615749340349
1.6500000000000001,0.04539713483093629,0.12819125864402736,0.032296769958526525,0.09358993714048454,0.0846355731308227,0.0005301698927861091,1.4816535583876103
1.7000000000000002,0.04532043170451499,0.12539234334666102,0.029624107624875808,0.09327252575990101,0.0767427965359107,0.0004935145579385421,1.4212592136849125
1.75,0.045242131529555855,0.1225857908317867,0.02747250925437672,0.09293405973184579,0.06946656749275672,0.00047182621980255767,1.3654764527988563
1.8,0.04516224036179987,0.11977532466186198,0.025766224722214976,0.09257427277831276,0.06278042243410555,0.0004602038945204956,1.313995954660784
1.85,0.04508076357698738,0.11696455852750459,0.0244362572068216,0.09219296129304617,0.05665532315624322,0.00045489586228692196,1.2665077611806503
1.9000000000000001,0.044997706085673106,0.1141569930941302,0.02342038748250198,0.09178998385237828,0.0510605603869405,0.00045309964805749877,1.2227065384085807
1.9500000000000002,0.044913072524328274,0.11135601292123459,0.022663045828616026,0.09136526034761908,0.04596450777865873,0.0004527824672992009,1.1822956537733238
2.0,0.04482686742315414,0.10856488347889413,0.02211506591638091,0.0909187707906078,0.041335240504999635,0.0004525244862553232,1.1449902258967581
