Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_6s1/2(2),J_total_W_relativistic
50.95,0.003747244889089184,0.0008170181168615115,0.0012574395262739708,0.0008454610818114033,0.00018546959794519765,0.0003818041265768647,0.00027558292980857943,4.1850531891351615e-05,3.292441741790698e-05,4.588719171088377e-05,9.692078222694159e-05,6.970394061356752e-05,1.1193893965560525e-05,8.763379631440396e-06,1.1441113901627216e-07,9.438847883935774e-08,8.168394575271139e-06,1.4762146948969532e-05,1.0173436191998747e-05,6.949594854794886e-07,6.404234248348468e-07,0.018380921843299924
51.0,0.003741282388865004,0.0008163480287311268,0.0012525779764969297,0.0008416728575999485,0.00018539845475469717,0.00038032325519512047,0.00027432437808227875,4.156133649441297e-05,3.26870860748435e-05,4.587499777903105e-05,9.654578766346167e-05,6.938452705521001e-05,1.1115888055241019e-05,8.699677894522381e-06,1.1334230564167108e-07,9.34869534589232e-08,8.166443990400485e-06,1.4705108923071826e-05,1.012684812416872e-05,6.900707533438601e-07,6.402748391442182e-07,0.01832897759241211
51.050000000000004,0.0037353276180135567,0.0008156750996320309,0.0012477364227474498,0.0008379025444783263,0.00018532637071070902,0.0003788481795013722,0.00027307173676268694,4.127431940491444e-05,3.245160557722964e-05,4.5862572144135606e-05,9.617222767305584e-05,6.906660537858037e-05,1.1038474191181516e-05,8.636476897031791e-06,1.1228382816601647e-07,9.259425288701639e-08,8.164452980754213e-06,1.4648273669504138e-05,1.0080457516092518e-05,6.852139932365062e-07,6.401226410824951e-07,0.01827722303816504
51.1,0.0037293805762847864,0.0008149993461951624,0.0012429147827158103,0.0008341500565684942,0.0001852533461878148,0.0003773788801242342,0.00027182497948888837,4.098946298446527e-05,3.2217960484434486e-05,4.584991422351675e-05,9.580009793983044e-05,6.875016913630365e-05,1.0961647548253007e-05,8.573772430454474e-06,1.1123557146382501e-07,9.171025557540338e-08,8.162421173274554e-06,1.4591639812570977e-05,1.0034262319666618e-05,6.803909870175028e-07,6.399668467877381e-07,0.01822565731210265
51.150000000000006,0.0037234412633777654,0.0008143207850849652,0.0012381129743960911,0.0008304153083842388,0.00018517938165391805,0.00037591533770837813,0.0002705840799887795,4.070674974642262e-05,3.19861354922672e-05,4.583702347025351e-05,9.542939414427668e-05,6.843521189923399e-05,1.0885403343148235e-05,8.511560323826876e-06,1.1019742234261509e-07,9.083486221091358e-08,8.160348189203828e-06,1.453520662269207e-05,9.988261390302039e-06,6.756038300752783e-07,6.398075894893121e-07,0.018174279557131183
51.2,0.003717509678940922,0.0008136394329977865,0.001233330916085524,0.0008266982148297315,0.00018510447766865786,0.00037445753291521735,0.00026934901207918883,4.0426162354519134e-05,3.1756115431711734e-05,4.582389937261642e-05,9.506011196353386e-05,6.812172725655802e-05,1.0809736834068679e-05,8.449836443474798e-06,1.0916928936226721e-07,8.996799554712736e-08,8.158233654464623e-06,1.4478974022825468e-05,9.942454497402113e-06,6.70854717928528e-07,6.396450672090404e-07,0.018123088926606773
51.25,0.003711585822572257,0.0008129553066602947,0.0012285685263838276,0.0008229986911980782,0.00018502863488184125,0.0003730054464235782,0.0002681197496659861,4.014768362150278e-05,3.1527885267673185e-05,4.581054145350613e-05,9.46922470716482e-05,6.780970881589542e-05,1.0734643320406099e-05,8.388596692744485e-06,1.081511017806969e-07,8.910959934169151e-08,8.15607721045691e-06,1.4422942566864866e-05,9.896842295751045e-06,6.661456876156053e-07,6.394794635913135e-07,0.018072084582964592
51.300000000000004,0.003705669693819569,0.0008122684228279192,0.0012238257241925462,0.0008193166531698736,0.0001849518540318946,0.00037155905893036253,0.000266896266744187,3.9871296507789924e-05,3.130143009773666e-05,4.5796949269898744e-05,9.432579513982821e-05,6.749915020339779e-05,1.0660118142416287e-05,8.327837011722795e-06,1.0714280767602327e-07,8.825963645066663e-08,8.153878524802222e-06,1.4367113390958988e-05,9.851426259155183e-06,6.614783847815016e-07,6.393108723380704e-07,0.018021265696241063
51.35,0.0036997612921806752,0.0008115787982833112,0.001219102428714385,0.0008156520168117586,0.00018487413594433415,0.0003701183511512,0.00026567853739804993,3.9596984120131095e-05,3.1076735150938035e-05,4.578312241229783e-05,9.396075183669665e-05,6.719004506384484e-05,1.0586156680882664e-05,8.267553376943358e-06,1.0614437133073257e-07,8.74180861672166e-08,8.151637301555282e-06,1.4311488139860492e-05,9.806208579302385e-06,6.568539182781989e-07,6.391392546472349e-07,0.017970631442811524
51.400000000000006,0.0036938606171036284,0.0008108864498348237,0.001214398559452533,0.0008120046985749724,0.00018479548153025452,0.00036868330382108815,0.0002644665358011646,3.932472971028887e-05,3.08537857865463e-05,4.576906050419304e-05,9.359711282853791e-05,6.688238706073757e-05,1.0512754356767965e-05,8.207741801076389e-06,1.0515576999472002e-07,8.658494092380593e-08,8.1493532904142e-06,1.4256068871478687e-05,9.761192034296044e-06,6.522728305320642e-07,6.389644458172577e-07,0.017920181004513668
51.45,0.0036879676679869426,0.0008101913943150143,0.0012097140362099927,0.0008083746152939135,0.00018471589178483625,0.0003672538976950256,0.00026326023621653616,3.9054516673728794e-05,3.063256749285809e-05,4.575476320152525e-05,9.323487377954254e-05,6.657616987638911e-05,1.0439906630853203e-05,8.148398332600859e-06,1.0417699017001192e-07,8.57602025035109e-08,8.14702629449178e-06,1.4200857943737439e-05,9.716379832610697e-06,6.477351714727315e-07,6.38786208556552e-07,0.017869913568135148
51.5,0.003682082444179808,0.0008094936485791653,0.0012050487790888974,0.0008047616841846955,0.00018463536778587098,0.0003658301135486317,0.00026205961299665976,3.878632854832206e-05,3.0413065886003354e-05,4.5740230192158174e-05,9.287403035204715e-05,6.627138721201159e-05,1.036760900336321e-05,8.08951905545816e-06,1.0320802357919611e-07,8.494387792592333e-08,8.144656176261893e-06,1.4145857888585404e-05,9.671775439245573e-06,6.432406332099925e-07,6.38604314226309e-07,0.01781982832509499
