Q_signed_au,Q_absolute_au,Eprime_keV,E0_keV,E0_minus_Eprime_keV,Eprime_minus_E0_keV,theta_deg,q_gamma_keV_c
-27.857100834420844,27.857100834420844,268.22729064799245,662.0,393.77270935200755,-393.77270935200755,97.65425625316492,746.653733107701
-1.6848648952394067,1.6848648952394067,606.6052571364819,662.0,55.394742863518104,-55.394742863518104,21.641359340153294,244.2987596834897
-15.411590899125747,15.411590899125747,494.4093095426229,662.0,167.5906904573771,-167.5906904573771,45.746200377739754,475.26969589039555
-1.443701810738029,1.443701810738029,612.1112012797081,662.0,49.8887987202919,-49.8887987202919,20.431891604785054,231.2469151627993
-35.25149029034255,35.25149029034255,193.32769016586516,662.0,468.6723098341348,-468.6723098341348,150.6069421996375,835.8443712498838
-3.307807023812462,3.307807023812462,574.2878867141541,662.0,87.71211328584593,-87.71211328584593,28.102544729003302,311.98558201108693
-8.647416808375132,8.647416808375132,491.5088397985127,662.0,170.49116020148728,-170.49116020148728,42.92480494512507,450.89780412199826
-27.97237594064103,27.97237594064103,267.0305023733736,662.0,394.9694976266264,-394.9694976266264,98.14815745290969,748.103515294733
-34.61887858945179,34.61887858945179,199.60227696620822,662.0,462.39772303379175,-462.39772303379175,142.016116397053,828.4812123279164
-29.864722243717154,29.864722243717154,247.5280786109627,662.0,414.47192138903733,-414.47192138903733,107.00805702799852,771.6063593120056
-7.36078647117186,7.36078647117186,509.65029691704933,662.0,152.34970308295067,-152.34970308295067,39.712917546803496,422.9793097278945
-6.240566608423415,6.240566608423415,526.1714975073069,662.0,135.82850249269313,-135.82850249269313,36.799413906271454,396.5675422053656
26.932369168911563,26.932369168911563,318.40965131140183,662.0,343.59034868859817,-343.59034868859817,46.72418495673396,500.6343903971449
-7.371607946744294,7.371607946744294,509.4942630028374,662.0,152.50573699716261,-152.50573699716261,39.740444840890966,423.2239721065447
-8.377993466315644,8.377993466315644,495.24316209742153,662.0,166.75683790257847,-166.75683790257847,42.26112927868938,445.23361035954525
-26.32374224535011,26.32374224535011,284.24873033448756,662.0,377.75126966551244,-377.75126966551244,91.47930067752274,727.1567890312876
-35.11551442614761,35.11551442614761,194.67449749743542,662.0,467.3255025025646,-467.3255025025646,148.53806827098867,834.2654074557449
-2.6549809135316713,2.6549809135316713,586.5250215908894,662.0,75.47497840911058,-75.47497840911058,25.75366377010692,287.8050308186322
-17.981491207749315,17.981491207749315,375.5179142687342,662.0,286.4820857312658,-286.4820857312658,65.72495866089083,612.2548917986226
-32.46226257352512,32.46226257352512,221.16662034625764,662.0,440.8333796537423,-440.8333796537423,122.5862526114793,803.0347574086053
-26.370736713532025,26.370736713532025,283.75479866275924,662.0,378.24520133724076,-378.24520133724076,91.65866281229597,727.7604025548319
