Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_total_Magnesium
0.0,0.07449019014242356,0.3418725375589238,1.5791677322553876,0.19178354322376484,0.1489803802848471,0.6837450751178475,1.150701259342589,3.1583354645107753,5.141762179256059
0.05,0.07448567437943909,0.3414726371092189,1.541890791977862,0.19178328004808923,0.14897134875887819,0.6829452742184378,1.1506996802885354,3.083781583955724,5.066397887221576
0.1,0.0744721301289588,0.340276223097183,1.4358990537406582,0.1917809250250024,0.1489442602579176,0.680552446194366,1.1506855501500144,2.8717981074813164,4.851980364083614
0.15000000000000002,0.07444956634501557,0.3382931104605488,1.2770407299880422,0.1917718484721561,0.14889913269003113,0.6765862209210975,1.1506310908329365,2.5540814599760844,4.53019790442015
0.2,0.07441799747365861,0.3355394991187098,1.0868895996038417,0.19174855246286565,0.14883599494731722,0.6710789982374196,1.1504913147771938,2.1737791992076834,4.144185507169614
0.25,0.07437744291970658,0.33203773303790113,0.8875874499456637,0.19170098298292634,0.14875488583941315,0.6640754660758023,1.150205897897558,1.7751748998913275,3.7382111497041004
0.30000000000000004,0.07432792657767787,0.32781596017742054,0.6976079284634984,0.19161693836217528,0.14865585315535573,0.6556319203548411,1.1497016301730516,1.3952158569269968,3.349205260610245
0.35000000000000003,0.07426947655094537,0.3229076976384953,0.5294757776344337,0.19148254912458465,0.14853895310189075,0.6458153952769906,1.148895294747508,1.0589515552688673,3.0022011983952566
0.4,0.07420212509600099,0.31735131268382405,0.38948992256318793,0.19128280192087727,0.14840425019200199,0.6347026253676481,1.1476968115252637,0.7789798451263759,2.7097835322112895
0.45,0.0741259087479099,0.3111894355482868,0.2788265092063938,0.19100208013648995,0.1482518174958198,0.6223788710965736,1.1460124808189396,0.5576530184127876,2.4742961878241205
0.5,0.0740408685378013,0.3044683227043642,0.19521770557129514,0.19062469577094387,0.1480817370756026,0.6089366454087284,1.1437481746256632,0.3904354111425903,2.2912019682525844
0.55,0.07394705020915834,0.29723718938557314,0.13457892246830516,0.19013539072634883,0.1478941004183167,0.5944743787711463,1.140812344358093,0.2691578449366103,2.152338668484166
0.6000000000000001,0.07384450436452283,0.28954752853807386,0.09225618761840286,0.18951979010775358,0.14768900872904567,0.5790950570761477,1.1371187406465215,0.18451237523680572,2.0484151816885205
0.65,0.07373328650990686,0.2814524310278792,0.06381739667262454,0.18876479494206952,0.14746657301981372,0.5629048620557584,1.132588769652417,0.12763479334524908,1.9705949980732382
0.7000000000000001,0.0736134569961281,0.27300591966518245,0.04545545288359461,0.18785890638891653,0.1472269139922562,0.5460118393303649,1.1271534383334991,0.09091090576718922,1.9113030974233094
0.75,0.07348508087713336,0.2642623077620281,0.03412105102144776,0.18679247771434557,0.14697016175426672,0.5285246155240562,1.1207548662860733,0.06824210204289552,1.8644917456072916
0.8,0.07334822771424213,0.2552755915061581,0.0274965045196397,0.18555789384119503,0.14669645542848425,0.5105511830123162,1.1133473630471702,0.0549930090392794,1.82558801052725
0.8500000000000001,0.07320297135491373,0.24609888423241885,0.023893506005845146,0.18414968111417895,0.14640594270982746,0.4921977684648377,1.1048980866850737,0.04778701201169029,1.7912888098714292
