E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_au,Q_absolute_au
662.0,502.9799747520007,159.02002524799929,30.0,338.38904547116545,19.032405502772832,19.032405502772832
662.0,514.2474101209702,147.75258987902976,30.0,336.22797298647373,15.142196107583741,15.142196107583741
662.0,505.55970252397185,156.44029747602815,30.0,337.86231301175525,18.156731646725078,18.156731646725078
662.0,184.48934964832,477.51065035168,30.0,510.6286110560747,59.70511364736511,59.70511364736511
662.0,277.305046195377,384.694953804623,30.0,444.04868259155404,59.20321723606658,59.20321723606658
662.0,189.04081486570854,472.9591851342915,30.0,507.1714677492343,59.81244790783673,59.81244790783673
662.0,311.50177491731125,350.49822508268875,30.0,422.02361005510727,57.24742789920049,57.24742789920049
662.0,511.46173131901617,150.53826868098383,30.0,336.7284693116912,16.11965826792852,16.11965826792852
662.0,344.43588338084845,317.56411661915155,30.0,402.42243958704086,54.20290958640435,54.20290958640435
662.0,229.62394419587017,432.3760558041298,30.0,477.1585606527916,60.219809218180174,60.219809218180174
662.0,268.8017302756189,393.1982697243811,30.0,449.7616769482486,59.52015492672804,59.52015492672804
662.0,660.5944772878779,1.4055227121220923,30.0,342.31533187777967,-45.35613106956227,45.35613106956227
662.0,223.2739363620036,438.7260636379964,30.0,481.7524445988692,60.22601199721738,60.22601199721738
662.0,429.28820711470695,232.71179288529305,30.0,360.97497996352917,39.95884123240671,39.95884123240671
662.0,245.3416745110143,416.6583254889857,30.0,465.9650703139092,60.08115245126606,60.08115245126606
662.0,532.0867945020215,129.91320549797854,30.0,333.5569743896742,8.650829111473803,8.650829111473803
662.0,319.6884017908264,342.3115982091736,30.0,416.99438265489067,56.60378689368152,56.60378689368152
662.0,374.7980723500541,287.2019276499459,30.0,385.96310168549286,50.239720793425086,50.239720793425086
662.0,256.18731068601426,405.81268931398574,30.0,458.39617140687886,59.87695073981231,59.87695073981231
662.0,636.5386514807622,25.461348519237845,30.0,336.98518057899315,-34.84574376363085,34.84574376363085
662.0,379.23606300671236,282.76393699328764,30.0,383.69940573454016,49.559556292013916,49.559556292013916
662.0,216.26831289679336,445.73168710320664,30.0,486.86643115774547,60.20127406167458,60.20127406167458
662.0,187.12882412217763,474.87117587782234,30.0,508.62165421353734,59.76875855649654,59.76875855649654
662.0,627.2116836282194,34.78831637178064,30.0,335.3602823797514,-30.764769536957544,30.764769536957544
662.0,398.80664752906426,263.19335247093574,30.0,374.18178370494405,46.235736181980855,46.235736181980855
662.0,222.4624574464466,439.5375425535534,30.0,482.34237656068217,60.224821444806125,60.224821444806125
662.0,457.76183687080027,204.23816312919973,30.0,350.5882266812882,32.83628102791855,32.83628102791855
662.0,412.45935172721335,249.54064827278665,30.0,368.0129760983375,43.593672605925285,43.593672605925285
662.0,261.02455554578967,400.97544445421033,30.0,455.06313863318064,59.755704452906656,59.755704452906656
662.0,341.3092840414385,320.6907159585615,30.0,404.20883641336786,54.54559006134848,54.54559006134848
662.0,495.62296840967343,166.37703159032657,30.0,339.9942515964553,21.47942886549519,21.47942886549519
662.0,508.16941908945364,153.83058091054636,30.0,337.3486937871887,17.261725843479283,17.261725843479283
662.0,208.73355027831985,453.26644972168015,30.0,492.4186484362596,60.13904514892203,60.13904514892203
662.0,246.97538472682368,415.0246152731763,30.0,464.8166404276528,60.056234418625756,60.056234418625756
662.0,150.25404680250546,511.74595319749454,30.0,537.1557863834018,58.55307413054198,58.55307413054198
662.0,319.0014906729995,342.9985093270005,30.0,417.41252542163465,56.66056571269342,56.66056571269342
662.0,225.7995155581154,436.2004844418846,30.0,479.92052967216836,60.226860822178985,60.226860822178985
662.0,275.88075314523996,386.11924685476004,30.0,444.9993857860927,59.26073815974245,59.26073815974245
662.0,562.5020080727691,99.49799192723094,30.0,331.17636861012335,-3.236677248168536,3.236677248168536
662.0,598.7338460256464,63.26615397435364,30.0,331.97504738373107,-18.405336817571687,18.405336817571687
662.0,411.9133240573926,250.08667594260743,30.0,368.2519589095688,43.70456345874913,43.70456345874913
662.0,581.3868472326079,80.61315276739208,30.0,331.0985571812515,-11.03595623949734,11.03595623949734
662.0,270.86211966451276,391.13788033548724,30.0,448.3692729367355,59.44914927033857,59.44914927033857
662.0,495.9097707294252,166.0902292705748,30.0,339.9288343327969,21.3854469668873,21.3854469668873
662.0,389.52701034916583,272.47298965083417,30.0,378.5984053955605,47.87859484692109,47.87859484692109
662.0,492.3119848815571,169.68801511844288,30.0,340.76602950217836,22.55600174355594,22.55600174355594
