energy_transfer_bin_left_keV,energy_transfer_bin_right_keV,energy_transfer_bin_center_keV,energy_transfer_bin_width_keV,Volume2_counts,Volume3_counts,Volume2_normalized_counts,Volume3_normalized_counts
0.0022644810853762465,3.2807560611282964,1.6415102711068363,3.27849158004292,173,594,0.006415248266399673,0.006600806765271311
3.2807560611282964,6.559247641171217,4.920001851149756,3.27849158004292,166,645,0.0061556717469499755,0.007167542699663292
6.559247641171217,9.837739221214136,8.198493431192677,3.2784915800429193,161,651,0.005970259947343049,0.007234217515474113
9.837739221214136,13.116230801257057,11.476985011235596,3.278491580042921,153,593,0.005673601067971966,0.006589694295969508
13.116230801257057,16.394722381299978,14.755476591278518,3.278491580042921,180,617,0.006674824785849371,0.006856393559212793
16.394722381299978,19.673213961342896,18.033968171321437,3.2784915800429175,169,594,0.006266918826714132,0.006600806765271311
19.673213961342896,22.951705541385817,21.312459751364358,3.278491580042921,160,600,0.005933177587421664,0.006667481581082132
22.951705541385817,26.230197121428738,24.590951331407275,3.278491580042921,164,649,0.006081507027107205,0.007211992576870507
26.230197121428738,29.50868870147166,27.8694429114502,3.278491580042921,166,614,0.0061556717469499755,0.006823056151307382
29.50868870147166,32.78718028151458,31.147934491493118,3.278491580042921,188,649,0.006971483665220455,0.007211992576870507
32.78718028151458,36.0656718615575,34.42642607153604,3.2784915800429175,159,631,0.005896095227500278,0.007011968129438042
36.0656718615575,39.344163441600415,37.70491765157895,3.2784915800429175,163,628,0.00604442466718582,0.006978630721532632
39.344163441600415,42.62265502164334,40.98340923162188,3.2784915800429246,171,621,0.006341083546556903,0.006900843436420007
42.62265502164334,45.90114660168626,44.2619008116648,3.2784915800429175,176,580,0.00652649534616383,0.006445232195046061
45.90114660168626,49.17963818172918,47.54039239170772,3.2784915800429246,182,616,0.006748989505692142,0.006845281089910989
49.17963818172918,52.4581297617721,50.81888397175064,3.2784915800429175,183,595,0.006786071865613527,0.006611919234573114
52.4581297617721,55.73662134181502,54.09737555179356,3.2784915800429175,172,592,0.006378165906478288,0.006578581826667704
55.73662134181502,59.01511292185794,57.37586713183648,3.2784915800429246,178,605,0.006600660066006601,0.00672304392759115
59.01511292185794,62.29360450190086,60.6543587118794,3.2784915800429175,161,569,0.005970259947343049,0.006322995032726222
62.29360450190086,65.57209608194378,63.93285029192232,3.2784915800429246,153,585,0.005673601067971966,0.006500794541555079
65.57209608194378,68.8505876619867,67.21134187196523,3.2784915800429104,175,528,0.0064894129862424444,0.0058673837913522766
68.8505876619867,72.12907924202962,70.48983345200816,3.2784915800429246,158,613,0.005859012867578893,0.006811943682005579
72.12907924202962,75.40757082207254,73.76832503205108,3.2784915800429246,173,594,0.006415248266399673,0.006600806765271311
75.40757082207254,78.68606240211545,77.046816612094,3.2784915800429104,160,593,0.005933177587421664,0.006589694295969508
78.68606240211545,81.96455398215838,80.32530819213692,3.2784915800429246,187,577,0.00693440130529907,0.006411894787140651
81.96455398215838,85.2430455622013,83.60379977217984,3.2784915800429246,147,618,0.0054511069084436535,0.006867506028514596
85.2430455622013,88.52153714224423,86.88229135222277,3.2784915800429246,170,549,0.006304001186635518,0.006100745646690151
88.52153714224423,91.80002872228714,90.16078293226568,3.2784915800429104,165,579,0.00611858938702859,0.0064341197257442575
91.80002872228714,95.07852030233006,93.4392745123086,3.2784915800429246,143,568,0.005302777468758112,0.006311882563424419
95.07852030233006,98.35701188237299,96.71776609235152,3.2784915800429246,172,557,0.006378165906478288,0.00618964540110458
98.35701188237299,101.6355034624159,99.99625767239445,3.2784915800429104,143,568,0.005302777468758112,0.006311882563424419
101.6355034624159,104.91399504245882,103.27474925243736,3.2784915800429246,159,573,0.005896095227500278,0.006367444909933437
104.91399504245882,108.19248662250175,106.55324083248028,3.2784915800429246,184,587,0.006823154225534913,0.006523019480158686
108.19248662250175,111.47097820254466,109.8317324125232,3.2784915800429104,163,584,0.00604442466718582,0.0064896820722532755
111.47097820254466,114.74946978258758,113.11022399256612,3.2784915800429246,145,571,0.005376942188600882,0.006345219971329829
114.74946978258758,118.0279613626305,116.38871557260904,3.2784915800429246,152,534,0.00563651870805058,0.0059340586071630974
118.0279613626305,121.30645294267342,119.66720715265197,3.2784915800429104,128,555,0.0047465420699373305,0.006167420462500972
121.30645294267342,124.58494452271634,122.94569873269488,3.2784915800429246,147,525,0.0054511069084436535,0.005834046383446866
124.58494452271634,127.86343610275927,126.2241903127378,3.2784915800429246,136,544,0.005043200949308414,0.006045183300181133
127.86343610275927,131.1419276828022,129.50268189278074,3.2784915800429246,162,552,0.006007342307264434,0.006134083054595562
131.1419276828022,134.42041926284512,132.78117347282364,3.2784915800429246,148,500,0.005488189268365039,0.005556234650901777
134.42041926284512,137.698910842888,136.05966505286656,3.278491580042896,142,552,0.005265695108836726,0.006134083054595562
137.698910842888,140.97740242293094,139.3381566329095,3.2784915800429246,164,510,0.006081507027107205,0.005667359343919812
140.97740242293094,144.25589400297386,142.61664821295238,3.2784915800429246,172,547,0.006378165906478288,0.006078520708086544
144.25589400297386,147.53438558301679,145.89513979299534,3.2784915800429246,154,551,0.005710683427893351,0.006122970585293758
147.53438558301679,150.8128771630597,149.17363137303823,3.2784915800429246,148,546,0.005488189268365039,0.00606740823878474
