Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_total_Fe
8.55,0.024153313559464026,0.004037956313585534,0.0215926969049842,0.0013989260895205,0.003171946520874071,7.450553585681953e-05,0.0009483579999840125,0.2136074115519075
8.6,0.02406548029694394,0.003962291217637384,0.021298608790195503,0.001349377849152341,0.0031402378478333002,7.177442914235702e-05,0.0009177880525801386,0.21103765572940567
8.65,0.02397757477883602,0.0038900783352438474,0.021007662459028843,0.0013018166154160527,0.0031083633212157197,6.915185168052801e-05,0.0008882742276624454,0.20850304320979493
8.700000000000001,0.023889601809028726,0.0038211981473340057,0.020719855529178776,0.001256180178239694,0.003076345498145191,6.663445338743445e-05,0.0008597779430666828,0.2060031029983236
8.75,0.023801566159899385,0.0037555340028304425,0.020435184401894405,0.001212407499175716,0.003044206259931567,6.421894264735385e-05,0.0008322620886258228,0.20353736971181657
8.8,0.023713472572000422,0.0036929720900173942,0.020153644304102634,0.0011704387346063551,0.0030119668067486996,6.190208809396614e-05,0.0008056909681545002,0.2011053834434713
8.85,0.02362532575375433,0.0036334014062937756,0.019875229329940694,0.0011302152548734936,0.002979647654637299,5.968072012905331e-05,0.0007800302437744086,0.19870668964021573
8.9,0.02353713038115737,0.0035767137264328262,0.019599932481675013,0.0010916796596124997,0.0029472686346221624,5.7551732196538147e-05,0.0007552468824846292,0.1963408389914893
8.950000000000001,0.02344889109749201,0.0035228035694657186,0.019327745709986174,0.001054775789556053,0.0029148488937477427,5.5512081828854205e-05,0.0007313091048848922,0.19400738732839812
9.0,0.023360612513048006,0.00347156816430187,0.019058659953601193,0.0010194487350606725,0.0028824068978495192,5.3558791481782876e-05,0.0007081863359635239,0.1917058955322701
9.05,0.023272299204852093,0.0034229074141943748,0.01879266517825663,0.0009856448415959344,0.002849960435891402,5.168894917307052e-05,0.0006858491578655193,0.18943592945171223
9.1,0.023183955716406315,0.003376723860154657,0.018529750414977963,0.0009533117124239741,0.0028175266257113862,4.9899708939340566e-05,0.0006642692645596733,0.18719705982734272
9.15,0.02309558655743482,0.0033329226434161176,0.01826990379766205,0.0009223982086848842,0.0027851219210288853,4.818829112504244e-05,0.0006434194183270366,0.18498886222342956
9.200000000000001,0.023007196203639203,0.0032914114670425025,0.018013112599951725,0.0008928544470921482,0.0027527621195778075,4.655198251644061e-05,0.0006232734079962182,0.1828109169657351
9.25,0.02291878909646229,0.0032521005567725417,0.017759363271392707,0.0008646317954310879,0.0027204623722393005,4.498813633292874e-05,0.0006038060088541002,0.18066280908491436
9.3,0.022830369642860275,0.00321490262118848,0.017508641472864902,0.0008376828660426655,0.0026882371930574424,4.349417208726982e-05,0.0005849929441635123,0.17854412826487248
9.35,0.02274194221508326,0.0031797328112922216,0.01726093211128151,0.0008119615074647232,0.0026561004700298855,4.206757532570383e-05,0.0005668108482222454,0.17645446879553367
9.4,0.022653511150464063,0.003146508679568955,0.017016219373550582,0.000787422794392871,0.0026240654765736096,4.070589725823114e-05,0.0005492372309004731,0.17439342952951623
9.450000000000001,0.022565080751215265,0.0031151501386144907,0.01677448675979536,0.0007640230161138615,0.0025921448835736715,3.940675428877828e-05,0.000532250443596293,0.17236061384225676
9.5,0.022476655284234467,0.0030855794193988466,0.016535717115830566,0.0007417196635552142,0.0025603507719299495,3.816782745437129e-05,0.000515829646551554,0.1703556295951582
9.55,0.022388238980917637,0.003057721029235152,0.016299892664893255,0.0007204714150862594,0.002528694645523649,3.698686178189171e-05,0.000499954777472549,0.16837808910137864
9.600000000000001,0.02229983603698059,0.003031501709519496,0.016066995038627938,0.00070023812119753,0.0024971874445316104,3.586166557046293e-05,0.00048460652140244195,0.16642760909390808
9.65,0.022211450612288432,0.003006850393303999,0.015837005307326547,0.0006809807881775457,0.0024658395590223137,3.479010960701112e-05,0.0004697662817944791,0.164503810695614
9.700000000000001,0.022123086830692987,0.0029836981627621726,0.015609904009424967,0.0006626615608985615,0.0024346608427729833,3.377012632206785e-05,0.00045541615273714833,0.16260631939096212
9.75,0.02203474877987811,0.002961978206602504,0.015385671180258818,0.0006452437048157174,0.0024036606272523292,3.279970889242593e-05,0.0004415388922844716,0.16073476499915126
9.8,0.02194644051121282,0.0029416257774831154,0.015164286380081769,0.000628691587277206,0.0023728477357182025,3.187691029682661e-05,0.0004281178968465258,0.15888878164841888
9.850000000000001,0.021858166039612232,0.0029225781494774668,0.014945728721350854,0.0006129706582366608,0.002342230497383959,3.099984233044684e-05,0.00041513717659716625,0.1570680077513055
9.9,0.02176992934340616,0.0029047745756381562,0.014729976895283664,0.0005980474304527952,0.002311816761611424,3.0166674583563782e-05,0.00040258133185767556,0.15527208598067793
9.950000000000001,0.021681734364215357,0.0028881562457031573,0.014517009197693186,0.0005838894592555295,0.0022816139120922585,2.9375633389405302e-05,0.0003904355304167757,0.1535006632463402
10.0,0.021593585006835347,0.0028726662439861606,0.014306803554106757,0.0005704653219523182,0.0022516288809831257,2.862500074584483e-05,0.0003786854857490705,0.15175339067207305
10.05,0.02150548513912772,0.0028582495074900914,0.014099337544175927,0.0005577445969431465,0.002221868162963373,2.7913113215266736e-05,0.0003673174360955311,0.1500299235729614
10.100000000000001,0.021417438591918903,0.002844852784280434,0.013894588425384987,0.0005456978426077405,0.0021923378291871126,2.7238360806616432e-05,0.00035631812437115834,0.14832992143288695
10.15,0.021329449158906236,0.0028324245921525644,0.01369253315606604,0.0005342965760238278,0.002163043541104417,2.659918584335174e-05,0.00034567477886636433,0.14665304788207287
10.200000000000001,0.02124152059657136,0.0028209151776250126,0.013493148417729193,0.0005235132515708738,0.0021339905641290587,2.5994081820733486e-05,0.0003353750947100062,0.14499897067458553
10.25,0.021153656624100844,0.002810276475288362,0.013296410636716915,0.0005133212394695401,0.002105183781132721,2.5421592255629348e-05,0.0003254072160633208,0.14336736166570646
10.3,0.021065860923313882,0.002800462067537339,0.013102296005191706,0.0005036948043031508,0.0020766277057478544,2.4880309531755532e-05,0.0003157597190152587,0.14175789678910117
10.350000000000001,0.020978137138597135,0.0027914271447116307,0.012910780501467,0.0004946090835637576,0.002048326495463556,2.436887374304791e-05,0.0003064215951509449,0.14017025603372013
10.4,0.0208904888768465,0.002783128465668979,0.01272183990969113,0.0004860400662618637,0.002020283964500752,2.388597153763252e-05,0.000297382235766135,0.13860412342037806
