event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,energy_transfer_E0_minus_Eprime_keV
2501,3,3,22,2013,662.0,233.0046582332452,428.9953417667548
2505,3,3,22,2013,662.0,593.0042473889209,68.99575261107907
2510,2,2,22,2013,662.0,372.2527243674177,289.7472756325823
2540,3,3,22,2013,662.0,310.5865417507542,351.4134582492458
2541,3,3,22,2013,662.0,259.7872530165971,402.2127469834029
2541,4,3,22,2013,662.0,157.71687370274984,504.2831262972502
2542,3,3,22,2013,662.0,458.21404107384427,203.78595892615573
2544,3,3,22,2013,662.0,193.48280121460607,468.51719878539393
2545,3,3,22,2013,662.0,428.3784835849913,233.62151641500873
2547,3,3,22,2013,662.0,616.0565458210267,45.9434541789733
2549,3,3,22,2013,662.0,267.87493883602036,394.12506116397964
2551,2,2,22,2013,662.0,362.273630560116,299.726369439884
2558,3,3,22,2013,662.0,606.9143484121208,55.08565158787917
2602,3,3,22,2013,662.0,597.7203433867704,64.27965661322958
2606,3,3,22,2013,662.0,233.05058854698697,428.949411453013
2608,3,3,22,2013,662.0,373.1937446364188,288.8062553635812
2615,3,3,22,2013,662.0,509.0220836221619,152.97791637783808
2623,4,2,22,2013,662.0,399.4556399343039,262.5443600656961
2636,3,3,22,2013,662.0,221.753294505431,440.246705494569
2646,3,3,22,2013,662.0,560.2700215505021,101.72997844949793
2655,3,3,22,2013,662.0,322.76886140138424,339.23113859861576
2655,4,3,22,2013,662.0,145.36089001052065,516.6391099894794
2660,4,2,22,2013,662.0,453.84141979958434,208.15858020041566
2661,2,2,22,2013,662.0,269.02931857696916,392.97068142303084
2688,3,3,22,2013,662.0,326.11033069754365,335.88966930245635
2688,5,2,22,2013,662.0,276.579465753376,385.420534246624
2690,4,2,22,2013,662.0,501.1486629779943,160.85133702200568
2707,3,3,22,2013,662.0,577.5463659767332,84.45363402326677
2731,3,3,22,2013,662.0,226.13124978540537,435.8687502145946
2741,3,3,22,2013,662.0,239.00965779930047,422.9903422006995
2757,3,3,22,2013,662.0,559.2604558567915,102.73954414320849
2790,3,3,22,2013,662.0,410.8379112719218,251.16208872807817
2802,3,3,22,2013,662.0,599.9757782685989,62.0242217314011
2807,3,3,22,2013,662.0,372.7966342432137,289.2033657567863
2808,3,3,22,2013,662.0,576.7672393181032,85.23276068189682
2812,3,3,22,2013,662.0,381.4422215888428,280.5577784111572
2814,3,3,22,2013,662.0,476.78936237046105,185.21063762953895
2818,3,3,22,2013,662.0,575.3229341130735,86.67706588692647
2818,4,3,22,2013,662.0,478.63845914410183,183.36154085589817
2838,3,3,22,2013,662.0,292.0166691109272,369.9833308890728
2847,2,2,22,2013,662.0,252.3903861052097,409.6096138947903
2849,3,3,22,2013,662.0,581.9023276973705,80.09767230262946
2849,4,3,22,2013,662.0,389.43266410914185,272.56733589085815
2850,3,3,22,2013,662.0,451.4196114017438,210.5803885982562
2929,4,2,22,2013,662.0,612.2869881164756,49.71301188352436
2948,3,3,22,2013,662.0,591.9167971949093,70.08320280509065
2958,2,2,22,2013,662.0,210.26182007384753,451.7381799261525
2984,4,2,22,2013,662.0,636.6245878882614,25.37541211173857
2985,3,3,22,2013,662.0,245.37706192623136,416.62293807376864
3011,3,3,22,2013,662.0,564.9160612953009,97.08393870469911
3019,3,3,22,2013,662.0,422.2282616304477,239.77173836955228
3023,3,3,22,2013,662.0,474.4756768878387,187.5243231121613
3023,5,2,22,2013,662.0,259.2373602122186,402.7626397877814
3035,3,3,22,2013,662.0,646.1873875464302,15.812612453569841
3054,2,2,22,2013,662.0,229.48135784035722,432.5186421596428
3055,3,3,22,2013,662.0,569.9276551370674,92.0723448629326
3055,4,3,22,2013,662.0,450.85276070544086,211.14723929455914
3063,3,3,22,2013,662.0,655.8408328478442,6.15916715215576
3072,3,3,22,2013,662.0,657.5732942981527,4.426705701847254
3084,3,3,22,2013,662.0,657.2388421440473,4.761157855952661
3092,3,3,22,2013,662.0,560.003617081094,101.99638291890597
3095,3,3,22,2013,662.0,609.1988658467541,52.801134153245926
3105,3,3,22,2013,662.0,343.3052463164788,318.6947536835212
3109,3,3,22,2013,662.0,245.36088906976823,416.63911093023177
3115,3,3,22,2013,662.0,571.259867308745,90.74013269125498
3121,3,3,22,2013,662.0,245.12701491351152,416.8729850864885
3122,3,3,22,2013,662.0,188.999402306642,473.00059769335803
3126,3,3,22,2013,662.0,329.72976519069954,332.27023480930046
3141,3,3,22,2013,662.0,186.35042535607693,475.6495746439231
3142,4,2,22,2013,662.0,275.2859886392527,386.7140113607473
3149,3,3,22,2013,662.0,373.7956918984805,288.2043081015195
3159,3,3,22,2013,662.0,543.9863101484541,118.0136898515459
3160,3,3,22,2013,662.0,489.1791988870402,172.82080111295983
3166,3,3,22,2013,662.0,572.0471423003232,89.95285769967677
3167,3,3,22,2013,662.0,315.07501647073167,346.92498352926833
3167,5,2,22,2013,662.0,301.193792670836,360.806207329164
3173,3,3,22,2013,662.0,657.4921643023022,4.507835697697828
3177,3,3,22,2013,662.0,330.91710327863615,331.08289672136385
3192,3,3,22,2013,662.0,340.2429342043701,321.7570657956299
3205,3,3,22,2013,662.0,207.58993504026944,454.41006495973056
3209,2,2,22,2013,662.0,461.5118160606355,200.4881839393645
3216,3,3,22,2013,662.0,224.45792281122436,437.54207718877564
3217,3,3,22,2013,662.0,414.8712091037092,247.1287908962908
3225,3,3,22,2013,662.0,590.9023338496287,71.09766615037131
3226,3,3,22,2013,662.0,482.76646584062576,179.23353415937424
3231,3,3,22,2013,662.0,388.24678667677114,273.75321332322886
3234,3,3,22,2013,662.0,273.8434012899605,388.1565987100395
3239,3,3,22,2013,662.0,432.07571967207764,229.92428032792236
3250,3,3,22,2013,662.0,619.0622366878503,42.93776331214974
3263,3,3,22,2013,662.0,562.0624456680434,99.93755433195656
3286,3,3,22,2013,662.0,412.34841335359926,249.65158664640074
3287,3,3,22,2013,662.0,190.4039976420768,471.5960023579232
3313,3,3,22,2013,662.0,506.1965833328164,155.80341666718363
3317,3,3,22,2013,662.0,225.81567429381363,436.18432570618637
3317,5,2,22,2013,662.0,142.2229063684663,519.7770936315337
3320,3,3,22,2013,662.0,254.8640151953261,407.1359848046739
3326,3,3,22,2013,662.0,352.3425733716064,309.6574266283936
3331,2,2,22,2013,662.0,372.48563816061784,289.51436183938216
3394,3,3,22,2013,662.0,213.75820976483328,448.2417902351667
3408,3,3,22,2013,662.0,203.5014266790342,458.49857332096576
3432,3,3,22,2013,662.0,190.6568156822525,471.3431843177475
3433,3,3,22,2013,662.0,576.7197430661995,85.2802569338005
3441,3,3,22,2013,662.0,299.229211535571,362.770788464429
3460,3,3,22,2013,662.0,293.8671805351266,368.1328194648734
3468,3,3,22,2013,662.0,411.77242623489303,250.22757376510697
3473,2,2,22,2013,662.0,585.2322136486715,76.76778635132848
3483,3,3,22,2013,662.0,461.7741086652987,200.22589133470132
3485,3,3,22,2013,662.0,540.6432031388293,121.35679686117066
3490,3,3,22,2013,662.0,555.4611916170134,106.53880838298664
3499,3,3,22,2013,662.0,407.3261670797089,254.6738329202911
3505,3,3,22,2013,662.0,475.9585974798012,186.0414025201988
3510,2,2,22,2013,662.0,227.37299162857616,434.6270083714238
3516,3,3,22,2013,662.0,537.7918769684421,124.20812303155788
3531,3,3,22,2013,662.0,609.4841040400366,52.51589595996336
3531,4,3,22,2013,662.0,491.5960243130917,170.40397568690832
3535,3,3,22,2013,662.0,211.21061541145562,450.7893845885444
3541,3,3,22,2013,662.0,430.64010861944627,231.35989138055373
3548,3,3,22,2013,662.0,423.7321156672508,238.2678843327492
3557,3,3,22,2013,662.0,255.4012433887547,406.59875661124534
3559,4,2,22,2013,662.0,338.52709920908654,323.47290079091346
3565,3,3,22,2013,662.0,630.7262678681014,31.273732131898555
3595,2,2,22,2013,662.0,313.1145217304377,348.8854782695623
3599,3,3,22,2013,662.0,261.9867965796079,400.0132034203921
3615,3,3,22,2013,662.0,207.355627589789,454.64437241021096
3615,5,2,22,2013,662.0,118.350826836896,543.649173163104
3624,2,2,22,2013,662.0,375.727322748991,286.272677251009
3626,3,3,22,2013,662.0,487.60037858716964,174.39962141283036
3629,3,3,22,2013,662.0,579.5747826452938,82.4252173547062
3629,4,3,22,2013,662.0,414.72072551594215,247.27927448405785
3636,3,3,22,2013,662.0,232.0171455809484,429.9828544190516
3656,3,3,22,2013,662.0,396.3257056786584,265.6742943213416
3666,3,3,22,2013,662.0,254.1626981351429,407.83730186485707
3667,3,3,22,2013,662.0,351.70575322163484,310.29424677836516
3670,3,3,22,2013,662.0,335.1867079318237,326.8132920681763
3676,4,2,22,2013,662.0,620.9535544457003,41.04644555429968
3685,3,3,22,2013,662.0,408.8326880872536,253.1673119127464
3685,4,3,22,2013,662.0,353.84630705177767,308.15369294822233
3694,3,3,22,2013,662.0,522.9781257558218,139.0218742441782
3695,3,3,22,2013,662.0,520.8579116868381,141.14208831316193
3736,3,3,22,2013,662.0,660.2392031558741,1.7607968441259345
3760,4,2,22,2013,662.0,290.7351355385192,371.2648644614808
3763,2,2,22,2013,662.0,267.16356967236044,394.83643032763956
3767,3,3,22,2013,662.0,238.36248924586212,423.6375107541379
3768,4,2,22,2013,662.0,217.99314223673247,444.00685776326753
3812,3,3,22,2013,662.0,236.30631414846542,425.6936858515346
3859,3,3,22,2013,662.0,244.4636818851935,417.5363181148065
3861,3,3,22,2013,662.0,582.3888599477543,79.61114005224567
3865,3,3,22,2013,662.0,407.9270627738029,254.0729372261971
3874,3,3,22,2013,662.0,317.0295352026743,344.9704647973257
3881,3,3,22,2013,662.0,200.82821361984966,461.17178638015037
3892,3,3,22,2013,662.0,534.3768223793737,127.62317762062628
3905,3,3,22,2013,662.0,386.33091918238773,275.66908081761227
3914,3,3,22,2013,662.0,212.02626149953244,449.97373850046756
3923,3,3,22,2013,662.0,314.486720810896,347.513279189104
