p,ChiF,ChiG,ChiTotal,I(p),J(Q)
0.0,-1.1514660906648221e-05,0.0,1.1514660906648221e-05,0.0,0.04340442107100343
0.05,-1.1439312695982004e-05,0.000412500055271604,0.0004126586403724425,4.257178836850822e-10,0.04340442096457396
0.1,-1.1213300951541592e-05,0.0008249100679901019,0.0008249862776977956,6.806023583896645e-09,0.043404420007391545
0.15000000000000002,-1.0836724310098728e-05,0.0012371400428921066,0.001237187504107949,3.443924070721928e-08,0.04340441628670187
0.2,-1.0309747079963626e-05,0.0016491000792474807,0.0016491323058684224,1.0878549449035601e-07,0.04340440661767174
0.25,-9.632599111639114e-06,0.002060700418010559,0.002060722931340974,2.6541118748465855e-07,0.04340438654801896
0.30000000000000004,-8.805575616971534e-06,0.0024718514888330896,0.0024718671730107806,5.499114588907479e-07,0.04340435036448213
0.35000000000000003,-7.829036937034654e-06,0.0028824639568931446,0.0028824745890653476,1.0178108201844123e-06,0.04340429110111824
0.4,-6.7034082590461434e-06,0.003292448769494541,0.003292455593539327,1.7344422136685449e-06,0.04340420054941263
0.45,-5.429179282686515e-06,0.0037017172023916505,0.0037017211837832883,2.774804793800165e-06,0.04340406927018251
0.5,-4.006903836249742e-06,0.004110180905794961,0.004110182858905409,4.223400783409961e-06,0.04340388660725199
0.55,-2.4371994431252096e-06,0.004517751950013189,0.004517752607413237,6.174051808091203e-06,0.04340364070287313
0.6000000000000001,-7.207468391672262e-07,0.004924342870688365,0.0049243429234340835,8.729695161927124e-06,0.04340331851486465
0.65,1.1417105584229943e-06,0.0053298667135809165,0.005329866835863804,1.2002160506197258e-05,0.043402905835436476
0.7000000000000001,3.149367230020911e-06,0.005734237078862512,0.005734237943712801,1.6111927549606653e-05,0.043402387311665555
0.75,5.301356179567862e-06,0.006137368164875131,0.006137370454486195,2.1187865303775046e-05,0.043401746467585205
0.8,7.596749606820423e-06,0.006539174811315738,0.006539179223996755,2.7366953551072523e-05,0.043400965727847574
0.8500000000000001,1.0034559625008126e-05,0.00693957254180674,0.006939579796744535,3.479398720326562e-05,0.043400026442915934
0.9,1.2613739022983215e-05,0.007338477605813451,0.0073384884463653455,4.3621264268724506e-05,0.043398908915740914
0.9500000000000001,1.533318207089979e-05,0.007735807019870673,0.007735822215844467,5.400825818302541e-05,0.0433975924298722
1.0,1.8191725368403468e-05,0.008131478608081642,0.008131498957299399,6.612127529256121e-05,0.04339605527895495
1.05,2.1188148734267792e-05,0.008525411041853717,0.008525437371197332,8.013309831315441e-05,0.04339427479755768
1.1,2.4321176136360037e-05,0.008917523878836242,0.008917557044909957,9.62226166155601e-05,0.043392227393276396
1.1500000000000001,2.7589476660782306e-05,0.009307737601027289,0.009307778490531436,0.00011457444421708756,0.04338988858005755
1.2000000000000002,3.0991665518981614e-05,0.009695973652017268,0.00969602318190013,0.00013537852638328043,0.04338723301268073
1.25,3.452630509158641e-05,0.010082154473338566,0.010082213590774802,0.00015882973576563145,0.043384234522339915
1.3,3.819190600769135e-05,0.010466203539891831,0.010466273222122992,0.00018512745902061768,0.04338086615326091
1.35,4.198692825826605e-05,0.010848045394420766,0.010848126648484436,0.00021447517487188978,0.043377100200290744
1.4000000000000001,4.5909782342342226e-05,0.011227605681008756,0.011227699543376409,0.0002470800245912163,0.043372908247393795
1.4500000000000002,4.995883044459074e-05,0.01160481117757213,0.011604918713711115,0.00028315237588474884,0.04336826120698803
1.5,5.4132387642878215e-05,0.011979589827326092,0.011979712131197758,0.0003229053811793251,0.04336312936005391
1.55,5.842872314436663e-05,0.012351870769201122,0.012352008962704546,0.0003665545313088971,0.043357482396947505
1.6,6.284606154868523e-05,0.012721584367188924,0.01272173959955783,0.00041431720560373205,0.043351289458848814
1.6500000000000001,6.738258413670221e-05,0.013088662238598598,0.013088835685757607,0.0004664122193848541,0.0433445191797756
1.7000000000000002,7.203643018338112e-05,0.013453037281205137,0.013453230145090393,0.0005230593698632622,0.04333713972909276
