Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_total_Zn
0.0,0.029026029502427605,0.10813717386973287,0.054879666435151665,0.2992240696598663,0.18556399729785034,1.403796150536369,0.16245257878192373,6.747554617354041
0.05,0.02902577022267722,0.10812427238661845,0.054879666050693034,0.29892085448913797,0.1855638378465415,1.3770103808930878,0.1624525778204256,6.693349357570707
0.1,0.02902499240553604,0.10808557360687546,0.05487966259230537,0.2980133921807189,0.18556240804593765,1.3000690555160868,0.1624525465632912,6.537563916880805
0.15000000000000002,0.029023696117015406,0.10802109573872905,0.05487964915362424,0.29650817332646623,0.1855568796502135,1.1824238142329784,0.16245229203665937,6.299095652019998
0.2,0.02902188146610624,0.10793087278765186,0.05487961425280998,0.29441582923330956,0.18554262492116494,1.0374541732882485,0.16245115598416557,6.004690508436138
0.25,0.02901954860335147,0.10781495897459029,0.054879541875232155,0.29175088509119973,0.1855133422728073,0.8797559086950701,0.1624475849297411,5.683515756914071
0.30000000000000004,0.029016697719059216,0.10767343315970967,0.054879411532315694,0.28853146828172316,0.18546122563466474,0.7226363611835633,0.16243866130678125,5.362146356757806
0.35000000000000003,0.029013329041332598,0.1075064022252714,0.05487919833568626,0.28477900407459716,0.1853771714147508,0.5764082037465335,0.16241969355854374,5.061149032263529
0.4,0.02900944283409808,0.1073140027587505,0.05487887308557323,0.28051791979073143,0.18525101575997838,0.44769150877020286,0.16238395103592318,4.7936845917401065
0.45,0.02900503939529879,0.10709640087738447,0.05487840237229342,0.2757753644360782,0.18507179399444457,0.3395869749343039,0.1623226017942547,4.565854755429106
0.5,0.02900011905538621,0.10685379047698002,0.05487774868955096,0.27058093893712803,0.18482801368887458,0.2523935264434019,0.1622248751028435,4.37814007512478
0.55,0.028994682176199698,0.10658639046002705,0.05487687055824877,0.26496642553108374,0.1845079327761847,0.18452408321720667,0.1620784337009243,4.227236319784878
0.6000000000000001,0.02898872915027571,0.10629444157262048,0.05487572265951257,0.25896550410724467,0.18409983445379474,0.1333631234972496,0.1618699105903935,4.10777604523856
0.65,0.028982260400583697,0.10597820339470179,0.05487425597567519,0.25261344693135784,0.1835922912582803,0.09593196535457792,0.16158554600791042,4.013666495645279
0.7000000000000001,0.02897527638064858,0.10563795185397419,0.0548724179380491,0.24594678894763242,0.1829744116026295,0.06932934508503752,0.16121185370759783,3.9389782388546353
0.75,0.028967777574993334,0.10527397743980443,0.05487015258042246,0.23900297664225073,0.1822360631619567,0.05097589265975457,0.16073625062237487,3.8784410493116295
0.8,0.02895976449982041,0.10488658412824546,0.054867400697337934,0.2318200028811105,0.18136806870775907,0.03871507086339019,0.16014759729744016,3.8276516341501168
0.8500000000000001,0.02895123770384664,0.1044760889162253,0.05486410000634739,0.22443603763517406,0.18036237125322932,0.030823192858880265,0.15943661434068876,3.7830980851926004
0.9,0.028942197769210882,0.10404282180439335,0.0548601853135693,0.21688906514875458,0.17921216661856335,0.025970169868864423,0.15859615880689767,3.7420842088442194
0.9500000000000001,0.02893264531238457,0.10358712605414558,0.054855588682003915,0.2092165373189333,0.17791200270098376,0.02315933375007737,0.15762136103646465,3.702610443533654
1.0,0.028922580985029513,0.10310935856037756,0.05485023960217653,0.2014550513811535,0.1764578457963298,0.02166331348119319,0.1565096352287566,3.6632454734941113
1.05,0.028912005474762963,0.10260989021353353,0.054844065164778584,0.19364005793173686,0.17484711523701985,0.02096481177717919,0.15526058526387546,3.6230064658439702
1.1,0.02890091950580475,0.10208910616167076,0.05483699023505569,0.18580560323328574,0.17307868836675191,0.02070599188904287,0.15387583118762863,3.5812556250667402
1.1500000000000001,0.028889323839494458,0.10154740591844665,0.054828937628751157,0.1779841078761116,0.171152878458494,0.020647280902939488,0.15235878209823733,3.537614954579828
1.2000000000000002,0.02887721927467711,0.10098520329236231,0.05481982828945178,0.17020618232241866,0.16907138860176185,0.020634948082613395,0.15071437893283396,3.4918981966197644
1.25,0.028864606647963767,0.10040292613488093,0.05480958146720219,0.16250047866928485,0.16683724484814827,0.020576226261986463,0.14894882687524152,3.4440577020727496
1.3,0.028851486833878694,0.09980101592033072,0.054798114898255756,0.15489357710814206,0.16445471202634773,0.020420612359412865,0.14706933267995634,3.394143672790713
1.35,0.02883786074490781,0.09917992717976286,0.054785344985817844,0.14740990498236825,0.16192919563883035,0.020146070156703926,0.14508385779853655,3.3422733478607407
1.4000000000000001,0.028823729331464338,0.09854012681544146,0.05477118698161311,0.14007168599201814,0.15926713315289157,0.01974903223343919,0.14300089424012918,3.288608011953046
1.4500000000000002,0.028809093581787466,0.0978820933236828,0.05475555516807672,0.13289891690922284,0.15647587782029476,0.019237291078801462,0.14082926682939226,3.23333605601114
1.5,0.028793954521788682,0.0972063159524698,0.05473836304093239,0.12590936910093087,0.1535635779224402,0.018625050976255005,0.13857796301600522,3.176660657043177
1.55,0.028778313214858887,0.09651329381756439,0.05471952349188115,0.1191186121689711,0.15053905406047735,0.017929570262017473,0.13625598960588625,3.1187909402998373
1.6,0.028762170761647367,0.095803534997421,0.05469894899108651,0.1125400570822454,0.14741167680828898,0.01716895519549856,0.1338722546280413,3.0599357371502904
1.6500000000000001,0.028745528299821754,0.09507755562356247,0.05467655176910592,0.10618501627209441,0.14419124673454017,0.016360773276617172,0.13143547189822177,3.000299256948286
