event_number,track_id,Eprime_k_keV,px,py,pz,theta_deg,Q_au,Q_abs_au,E0_minus_Eprime_keV
38663,3,20.76941822,-0.85308544,0.33885824,0.3967623,109.80732717,41.5548949,41.5548949,641.23058178
97742,3,78.47364277,-0.4901808,0.43685575,-0.75424123,115.90343726,20.42714712,20.42714712,583.52635723
