event_number,record_index,step_number,vlm,pdg,track_id,E0_keV,Eprime_k_keV,E0_minus_Eprime_keV,px,py,pz,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_au,Q_abs_au
18256,5,5,2,22,1,662.0,211.29630098,450.70369902,-0.74140744,0.64649802,-0.17987584,130.27808492,-0.64649802,814.70977788,-124.6657689,-33.44595102,33.44595102
18281,5,5,2,22,1,662.0,199.44436249,462.55563751,0.43239676,0.7902109,-0.43428075,142.20522504,-0.7902109,828.66674301,-129.09695679,-34.63477209,34.63477209
18311,5,5,2,22,1,662.0,225.54619935,436.45380065,0.80379139,0.49370471,-0.33192628,119.58437373,-0.49370471,797.83880132,-119.37935853,-32.02768661,32.02768661
18344,5,5,2,22,1,662.0,186.46896819,475.53103181,-0.0036543,0.96849484,0.24900683,165.57966459,-0.96849484,843.87288146,-133.98269486,-35.94554214,35.94554214
18381,5,5,2,22,1,662.0,202.49589622,459.50410378,0.01406553,0.75160087,0.65946819,138.7292412,-0.75160087,825.07951964,-127.95313339,-34.32790147,34.32790147
18451,5,5,2,22,1,662.0,231.43869521,430.56130479,0.57912428,0.43602172,0.6888397,115.85032532,-0.43602172,790.83231601,-117.20695703,-31.44486396,31.44486396
18507,5,5,2,22,1,662.0,211.25371898,450.74628102,-0.75920544,0.64698549,0.07082984,130.31470452,-0.64698549,814.76004224,-124.68163428,-33.45020746,33.45020746
18562,5,5,2,22,1,662.0,204.9683572,457.0316428,0.1888121,0.72116075,0.66654119,136.15039744,-0.72116075,822.16985175,-127.0278433,-34.07966006,34.07966006
18578,6,6,2,22,1,662.0,205.65142189,456.34857811,0.35390939,0.89502491,-0.27143795,153.51162906,-0.89502491,851.02062882,-151.49330998,-40.64337684,40.64337684
18632,5,5,2,22,1,662.0,185.89487586,476.10512414,-0.21134203,0.9769579,-0.02979608,167.67644198,-0.9769579,844.54395279,-134.19967698,-36.00375518,36.00375518
18644,5,5,2,22,1,662.0,189.9386275,472.0613725,-0.35393698,0.91843528,0.17665006,156.6983927,-0.91843528,839.81404668,-132.67276916,-35.59410877,35.59410877
18728,5,5,2,22,1,662.0,211.67332293,450.32667707,0.57534528,0.64219049,-0.50652659,129.95535315,-0.64219049,814.26469796,-124.52531399,-33.40826908,33.40826908
18778,5,5,2,22,1,662.0,193.67774588,468.32225412,-0.12099928,0.86649598,0.48429733,150.05396756,-0.86649598,835.43405273,-131.26392924,-35.21613821,35.21613821
18779,5,5,2,22,1,662.0,200.49146685,461.50853315,-0.10639276,0.77682979,0.62065776,140.97122327,-0.77682979,827.43630628,-128.7042389,-34.52941179,34.52941179
18815,5,5,2,22,1,662.0,262.51711671,399.48288329,-0.97842988,0.17463391,-0.11035383,100.05735469,-0.17463391,753.5630099,-105.88743149,-28.40800549,28.40800549
18885,5,5,2,22,1,662.0,193.48280121,468.51719879,0.47151761,0.86915431,0.1491373,150.36051282,-0.86915431,835.66256429,-131.3373086,-35.23582479,35.23582479
19069,7,7,2,22,1,662.0,177.74291014,484.25708986,-0.33673402,0.89317957,-0.29806117,153.27555027,-0.89317957,824.63927325,-112.24252298,-30.11298096,30.11298096
19073,5,5,2,22,1,662.0,190.25440344,471.74559656,-0.38272186,0.91396998,0.13484381,156.05987163,-0.91396998,839.44438717,-132.5536765,-35.562158,35.562158
19094,5,5,2,22,1,662.0,207.08068788,454.91931212,0.6481157,0.69573022,0.30968614,134.08543467,-0.69573022,819.68172226,-126.23838204,-33.86785947,33.86785947
19136,5,5,2,22,1,662.0,211.020275,450.979725,-0.02836299,0.64966142,-0.7596944,130.51607904,-0.64966142,815.03558706,-124.76861898,-33.47354415,33.47354415
19282,5,5,2,22,1,662.0,198.28425678,463.71574322,-0.17630505,0.80520111,-0.56618699,143.62968173,-0.80520111,830.0293785,-129.53233053,-34.75157632,34.75157632
19353,5,5,2,22,1,662.0,211.37195376,450.62804624,-0.68453627,0.64563244,-0.33848019,130.21311039,-0.64563244,814.62047418,-124.63758286,-33.43838912,33.43838912
19481,5,5,2,22,1,662.0,215.0996049,446.9003951,0.79442954,0.60373686,-0.06620809,127.13800175,-0.60373686,810.21675661,-123.25034459,-33.06621396,33.06621396
19495,5,5,2,22,1,662.0,221.75329451,440.24670549,-0.29382799,0.53245602,0.79382347,122.17154859,-0.53245602,802.33928919,-120.78194635,-32.40397983,32.40397983
19499,5,5,2,22,1,662.0,214.71960574,447.28039426,0.70997828,0.60794113,0.35544116,127.44078196,-0.60794113,810.66598483,-123.3916186,-33.10411565,33.10411565
19548,5,5,2,22,1,662.0,193.78176577,468.21823423,0.18104633,0.86507971,0.46782402,149.89180867,-0.86507971,835.31211503,-131.22477826,-35.20563459,35.20563459
19552,5,5,2,22,1,662.0,248.4138314,413.5861686,0.7517187,0.28514526,0.59465215,106.56753145,-0.28514526,770.54375707,-110.99474603,-29.77822117,29.77822117
19638,5,5,2,22,1,662.0,212.52871984,449.47128016,-0.74904599,0.63247412,-0.19724755,129.23289539,-0.63247412,813.25463427,-124.20676337,-33.32280674,33.32280674
19676,5,5,2,22,1,662.0,214.78939267,447.21060733,0.4437086,0.6071679,-0.65914325,127.38500437,-0.6071679,810.58348927,-123.36567117,-33.09715435,33.09715435
19706,5,5,2,22,1,662.0,186.65886609,475.34113391,-0.25552694,0.96570689,-0.0460021,164.95160847,-0.96570689,843.65087341,-133.91093666,-35.92629049,35.92629049
19743,5,5,2,22,1,662.0,199.4390035,462.5609965,-0.06168827,0.79027975,0.60963307,142.211662,-0.79027975,828.67303897,-129.09896729,-34.63531148,34.63531148
19764,5,5,2,22,1,662.0,250.8787037,411.1212963,0.62217675,0.26493486,-0.73668556,105.36308221,-0.26493486,767.58438549,-110.09852938,-29.53777972,29.53777972
19795,5,5,2,22,1,662.0,189.82335467,472.17664533,-0.17525253,0.92006903,-0.35037056,156.93617556,-0.92006903,839.94897856,-132.71624869,-35.60577368,35.60577368
19817,5,5,2,22,1,662.0,267.91631225,394.08368775,0.66733462,0.13540626,0.73234531,97.78211286,-0.13540626,747.03053667,-103.94561281,-27.88704474,27.88704474
19819,5,5,2,22,1,662.0,215.52396356,446.47603644,0.80003047,0.59905931,0.03285106,126.80255558,-0.59905931,809.71500359,-123.0926171,-33.02389805,33.02389805
19835,5,5,2,22,1,662.0,205.23584319,456.76415681,0.53845365,0.71791152,0.44121505,135.88231944,-0.71791152,821.85489441,-126.92781939,-34.05282514,34.05282514
19949,5,5,2,22,1,662.0,191.88582495,470.11417505,-0.11219336,0.89113459,-0.43964963,153.01616639,-0.89113459,837.53387969,-131.93872994,-35.39717709,35.39717709
19995,5,5,2,22,1,662.0,221.58733528,440.41266472,0.83179683,0.53418188,0.15087661,122.28844545,-0.53418188,802.53604187,-120.84339209,-32.4204648,32.4204648
20110,5,5,2,22,1,662.0,225.2234956,436.7765044,-0.79329067,0.49695091,0.35175234,119.79847785,-0.49695091,798.221993,-119.49856324,-32.05966744,32.05966744
20183,5,5,2,22,1,662.0,206.79756231,455.20243769,-0.71355086,0.69910864,-0.04574147,134.35553376,-0.69910864,820.01534026,-126.34414063,-33.89623291,33.89623291
20323,7,7,2,22,1,662.0,146.14029053,515.85970947,-0.43192309,0.87600385,0.21461523,151.16400467,-0.87600385,793.15745353,-64.23070385,-17.23213191,17.23213191
20392,5,5,2,22,1,662.0,218.40901473,443.59098527,-0.39201684,0.56774035,-0.72387408,124.59280336,-0.56774035,806.30142139,-122.02136197,-32.7364964,32.7364964
20416,5,5,2,22,1,662.0,191.91178344,470.08821656,-0.4472232,0.89077438,0.08069957,152.97071647,-0.89077438,837.50347097,-131.92894968,-35.39455319,35.39455319
20431,5,5,2,22,1,662.0,194.80594853,467.19405147,-0.41934987,0.85121591,0.31555849,148.34416598,-0.85121591,834.11125388,-130.83941874,-35.10224843,35.10224843
20556,5,5,2,22,1,662.0,189.35026602,472.64973398,-0.05225007,0.92679488,-0.37191557,157.94058215,-0.92679488,840.50268815,-132.8947211,-35.65365514,35.65365514
20618,5,5,2,22,1,662.0,226.59900481,435.40099519,0.03040068,0.48317844,-0.87499394,118.89319747,-0.48317844,796.58828419,-118.99062615,-31.92339556,31.92339556
20646,5,5,2,22,1,662.0,283.09972612,378.90027388,-0.74370632,0.03311211,-0.66768593,91.89753128,-0.03311211,728.56068481,-98.52617259,-26.43309042,26.43309042
20652,5,5,2,22,1,662.0,189.99034659,472.00965341,0.0778059,0.91770292,0.3895736,156.592542,-0.91770292,839.75350533,-132.65326225,-35.58887536,35.58887536
20672,5,5,2,22,1,662.0,215.18082558,446.81917442,-0.42685091,0.60284016,0.67407866,127.07358142,-0.60284016,810.12072978,-123.22015301,-33.05811401,33.05811401
20699,5,5,2,22,1,662.0,188.61083532,473.38916468,-0.19106112,0.93737486,0.29124565,159.61527024,-0.93737486,841.36793114,-133.17376439,-35.72851826,35.72851826
20709,5,5,2,22,1,662.0,211.74298005,450.25701995,0.68381823,0.64139632,-0.34785541,129.89601868,-0.64139632,814.18245918,-124.49936753,-33.40130803,33.40130803
20724,5,5,2,22,1,662.0,189.75602635,472.24397365,0.35123196,0.92102418,-0.16837626,157.07627242,-0.92102418,840.02778658,-132.74164541,-35.61258723,35.61258723
20726,5,5,2,22,1,662.0,195.25512275,466.74487725,0.08729313,0.84518157,0.5273026,147.69139449,-0.84518157,833.58444532,-130.67048225,-35.05692531,35.05692531
20753,5,5,2,22,1,662.0,204.31609812,457.68390188,-0.20071168,0.72911961,-0.65429307,136.8126383,-0.72911961,822.93772791,-127.27181486,-34.14511396,34.14511396
20759,5,5,2,22,1,662.0,209.08792878,452.91207122,-0.71166589,0.67204099,-0.20467675,132.22478541,-0.67204099,817.31541873,-125.48910262,-33.66683907,33.66683907
20970,5,5,2,22,1,662.0,187.74308524,474.25691476,0.19319093,0.94989715,0.24570849,161.78626566,-0.94989715,842.38302108,-133.50137745,-35.81641192,35.81641192
20996,5,5,2,22,1,662.0,210.1219599,451.8780401,0.71899411,0.6600141,0.21778165,131.3009484,-0.6600141,816.09566536,-125.10345705,-33.56337616,33.56337616
21101,5,5,2,22,1,662.0,202.03119666,459.96880334,-0.31865442,0.75740527,0.5699093,139.23598347,-0.75740527,825.62607416,-128.12718974,-34.37459817,34.37459817
21225,5,5,2,22,1,662.0,238.24461619,423.75538381,0.59854036,0.37294809,-0.70898459,111.89754906,-0.37294809,782.71687331,-114.70795357,-30.77441891,30.77441891
21257,5,5,2,22,1,662.0,190.12851036,471.87148964,0.27656415,0.91574842,0.29140538,156.31223771,-0.91574842,839.59176774,-132.60115368,-35.57489542,35.57489542
21283,5,5,2,22,1,662.0,192.98051614,469.01948386,0.08110704,0.87602838,0.47539028,151.16691925,-0.87602838,836.25125786,-131.52641129,-35.2865582,35.2865582
21319,5,5,2,22,1,662.0,247.76933654,414.23066346,-0.82318265,0.29049602,0.48783439,106.88765459,-0.29049602,771.31697608,-111.22932909,-29.84115628,29.84115628
21376,5,5,2,22,1,662.0,201.31350652,460.68649348,0.05398026,0.76642235,0.64006478,140.03369685,-0.76642235,826.46998573,-128.39609704,-34.44674196,34.44674196
21483,5,5,2,22,1,662.0,185.26290748,476.73709252,0.10619422,0.9863348,-0.12596206,170.51709586,-0.9863348,845.28251174,-134.4386125,-36.06785799,36.06785799
21718,5,5,2,22,1,662.0,189.25753423,472.74246577,0.12065241,0.92811717,0.35219527,158.14319343,-0.92811717,840.61121119,-132.92970959,-35.66304203,35.66304203
21744,5,5,2,22,1,662.0,200.03010114,461.96989886,-0.43714998,0.78270839,0.44302085,141.50922631,-0.78270839,827.9785124,-128.8772457,-34.57582691,34.57582691
21749,5,5,2,22,1,662.0,187.45745516,474.54254484,0.07246177,0.95404438,-0.29077245,162.56249501,-0.95404438,842.71707778,-133.60924935,-35.84535233,35.84535233
21790,5,5,2,22,1,662.0,186.14916754,475.85083246,-0.2215672,0.97320278,0.06151684,166.70595634,-0.97320278,844.24672233,-134.10355729,-35.97796771,35.97796771
21826,5,5,2,22,1,662.0,210.26182007,451.73817993,-0.61106167,0.65839646,0.43945162,131.17769224,-0.65839646,815.93064552,-125.05131382,-33.54938692,33.54938692
21839,5,5,2,22,1,662.0,252.62332287,409.37667713,-0.89872707,0.25086845,-0.3596591,104.52890833,-0.25086845,765.48764546,-109.46510524,-29.36784155,29.36784155
21840,5,5,2,22,1,662.0,185.4945396,476.5054604,0.07114981,0.98289052,-0.16989389,169.38604563,-0.98289052,845.01183159,-134.35102712,-36.04436015,36.04436015
21900,5,5,2,22,1,662.0,212.16387686,449.83612314,0.4947141,0.63660875,0.59159721,129.53940498,-0.63660875,813.68548893,-124.34261136,-33.35925271,33.35925271
21903,5,5,2,22,1,662.0,202.92626225,459.07373775,0.62909743,0.74624903,-0.21759782,138.26649331,-0.74624903,824.57325684,-127.79197856,-34.28466605,34.28466605
21953,5,5,2,22,1,662.0,203.23121961,458.76878039,-0.56634709,0.74247043,0.35775499,137.94228576,-0.74247043,824.21446681,-127.67780852,-34.25403595,34.25403595
22051,5,5,2,22,1,662.0,188.05994445,473.94005555,0.26465409,0.94531124,0.19064332,160.96354514,-0.94531124,842.01239887,-133.3817313,-35.78431265,35.78431265
22053,5,5,2,22,1,662.0,227.53171195,434.46828805,0.87680797,0.47393432,0.08120371,118.28998662,-0.47393432,795.47994102,-118.64645257,-31.83105897,31.83105897
22110,5,5,2,22,1,662.0,199.81483602,462.18516398,0.60979872,0.78546053,0.10581718,141.76329174,-0.78546053,828.23146271,-128.95798328,-34.59748759,34.59748759
22131,5,5,2,22,1,662.0,214.03696185,447.96303815,-0.5990637,0.61553134,-0.5120975,127.99053871,-0.61553134,811.47281653,-123.64548935,-33.17222536,33.17222536
22190,5,5,2,22,1,662.0,186.85805593,475.14194407,0.18484746,0.96278861,0.19715353,164.32052192,-0.96278861,843.41798537,-133.83567526,-35.90609899,35.90609899
22254,5,5,2,22,1,662.0,186.32675122,475.67324878,-0.16085924,0.97058649,0.17912614,166.06902961,-0.97058649,844.03913588,-134.03644039,-35.95996126,35.95996126
22395,5,5,2,22,1,662.0,215.25338283,446.74661717,-0.79846472,0.60203969,-0.00151471,127.01611983,-0.60203969,810.03494294,-123.19318307,-33.05087838,33.05087838
