event_number,record_index,step_number,vlm,pdg,track_id,E0_keV,Eprime_k_keV,E0_minus_Eprime_keV,px,py,pz,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_au,Q_abs_au
2663,7,7,5,22,1,662.0,191.35547827,470.64452173,0.14418741,0.73922023,0.65784758,137.66503361,-0.73922023,813.72342024,-111.30753948,-29.86213895,29.86213895
2663,8,8,5,22,1,662.0,191.35547827,470.64452173,0.14418741,0.73922023,0.65784758,137.66503361,-0.73922023,813.72342024,-111.30753948,-29.86213895,29.86213895
2776,7,7,5,22,1,662.0,568.55066459,93.44933541,-0.46220896,-0.87312705,0.15495816,29.17591802,0.87312705,322.85878547,-13.52382986,-3.62824017,3.62824017
2912,7,7,5,22,1,662.0,652.53546724,9.46453276,-0.10241213,-0.98880415,0.10852699,8.58167724,0.98880415,98.80439885,-0.45320223,-0.12158734,0.12158734
3079,7,7,5,22,1,662.0,641.03150878,20.96849122,-0.16539239,-0.97475067,0.1500216,12.90269966,0.97475067,147.88316314,-1.48641638,-0.39878316,0.39878316
3128,7,7,5,22,1,662.0,605.88971843,56.11028157,-0.35466423,-0.92851567,0.10987234,21.79539521,0.92851567,245.95314419,-6.40008362,-1.71704619,1.71704619
3226,7,7,5,22,1,662.0,578.82581313,83.17418687,-0.52539796,-0.83499272,-0.16353636,33.38492003,0.83499272,365.20379654,-66.22301641,-17.76663941,17.76663941
3226,8,8,5,22,1,662.0,262.59082576,399.40917424,-0.70085998,0.40113248,0.58982032,113.64899449,-0.40113248,804.15158604,-148.27030214,-39.77869231,39.77869231
3226,9,9,5,22,1,662.0,262.59082576,399.40917424,-0.70085998,0.40113248,0.58982032,113.64899449,-0.40113248,804.15158604,-148.27030214,-39.77869231,39.77869231
3441,7,7,5,22,1,662.0,230.02010416,431.97989584,0.68266257,0.39744716,0.61319455,113.41868505,-0.39744716,782.42855125,-109.09046199,-29.2673304,29.2673304
3441,8,8,5,22,1,662.0,230.02010416,431.97989584,0.68266257,0.39744716,0.61319455,113.41868505,-0.39744716,782.42855125,-109.09046199,-29.2673304,29.2673304
3455,7,7,5,22,1,662.0,628.42366875,33.57633125,-0.21481484,-0.95875772,-0.18611347,16.51250643,0.95875772,188.26127421,-2.99396896,-0.80323685,0.80323685
3458,7,7,5,22,1,662.0,644.29950629,17.70049371,-0.15823004,-0.97879396,0.13009856,11.82055551,0.97879396,135.65829671,-1.15462489,-0.30976849,0.30976849
3625,8,8,5,22,1,662.0,191.34866284,470.65133716,0.92616025,-0.31856768,0.20184603,71.42367382,0.31856768,627.81413013,69.17261051,18.55797115,18.55797115
3625,9,9,5,22,1,662.0,191.34866284,470.65133716,0.92616025,-0.31856768,0.20184603,71.42367382,0.31856768,627.81413013,69.17261051,18.55797115,18.55797115
3675,7,7,5,22,1,662.0,628.1761841,33.8238159,-0.15490542,-0.95843736,0.23958743,16.57696371,0.95843736,188.9759684,-3.02677847,-0.81203915,0.81203915
3876,7,7,5,22,1,662.0,473.54415483,188.45584517,-0.25337362,-0.54438959,0.79965104,57.01703958,0.54438959,566.71931652,-113.43261664,-30.4322652,30.4322652
3876,8,8,5,22,1,662.0,473.54415483,188.45584517,-0.25337362,-0.54438959,0.79965104,57.01703958,0.54438959,566.71931652,-113.43261664,-30.4322652,30.4322652
3898,7,7,5,22,1,662.0,620.85409892,41.14590108,-0.17338595,-0.94884371,-0.2638805,18.40586174,0.94884371,209.15067866,-4.04707144,-1.08576841,1.08576841
3947,7,7,5,22,1,662.0,487.2830847,174.7169153,0.17370982,-0.94642694,-0.27221488,18.83948584,0.94642694,255.12613339,222.38283078,59.66196921,59.66196921
3947,8,8,5,22,1,662.0,487.2830847,174.7169153,0.17370982,-0.94642694,-0.27221488,18.83948584,0.94642694,255.12613339,222.38283078,59.66196921,59.66196921
4176,7,7,5,22,1,662.0,192.91594026,469.08405974,0.51588178,0.7043669,-0.48757897,134.77841978,-0.7043669,809.54953581,-108.68176318,-29.15768266,29.15768266
4176,8,8,5,22,1,662.0,0.0,662.0,0.51588178,0.7043669,-0.48757897,134.77841978,-0.7043669,662.0,180.0,48.29129308,48.29129308
4339,7,7,5,22,1,662.0,602.24910664,59.75089336,-0.37714456,-0.92341738,-0.07115001,22.56909349,0.92341738,254.23503301,-7.02113898,-1.883666,1.883666
4387,7,7,5,22,1,662.0,278.83914371,383.16085629,0.36619654,-0.27049563,0.8903551,74.30623794,0.27049563,645.08361588,-19.02270942,-5.10350686,5.10350686
4387,8,8,5,22,1,662.0,220.80372575,441.19627425,-0.56885223,0.01999647,0.82219662,91.14578945,-0.01999647,702.0285854,-29.8716771,-8.01412174,8.01412174
4387,9,9,5,22,1,662.0,136.16801285,525.83198715,-0.48967559,-0.00702542,-0.8718764,89.59746954,0.00702542,674.92157986,60.65975244,16.27409935,16.27409935
4387,10,10,5,22,1,662.0,136.16801285,525.83198715,-0.45497657,-0.10463482,-0.88433471,83.99387242,0.10463482,661.75636529,75.16271024,20.16502483,20.16502483
4387,11,11,5,22,1,662.0,114.21073568,547.78926432,-0.6538901,-0.74854728,0.11002137,41.53530464,0.74854728,581.46066427,190.67852537,51.15618085,51.15618085
4387,12,12,5,22,1,662.0,100.2680357,561.7319643,-0.59000692,-0.10699998,-0.80027672,83.85759373,0.10699998,658.8572755,106.24240123,28.50323853,28.50323853
4387,13,13,5,22,1,662.0,100.2680357,561.7319643,-0.59493444,-0.11507238,-0.79549441,83.39220036,0.11507238,658.04350883,107.18805529,28.75694329,28.75694329
4387,14,14,5,22,1,662.0,100.2680357,561.7319643,-0.59493444,-0.11507238,-0.79549441,83.39220036,0.11507238,658.04350883,107.18805529,28.75694329,28.75694329
4523,7,7,5,22,1,662.0,597.09365881,64.90634119,-0.30354681,-0.91609137,0.26198462,23.63880608,0.91609137,265.60680022,-7.93031584,-2.12758448,2.12758448
4563,7,7,5,22,1,662.0,494.33395813,167.66604187,0.20559955,-0.81398736,-0.54328023,35.51264323,0.81398736,387.11346423,27.76687276,7.44943439,7.44943439
4563,8,8,5,22,1,662.0,494.33395813,167.66604187,0.20559955,-0.81398736,-0.54328023,35.51264323,0.81398736,387.11346423,27.76687276,7.44943439,7.44943439
4633,7,7,5,22,1,662.0,609.83394326,52.16605674,-0.31706001,-0.93397044,0.16483982,20.93755601,0.93397044,236.71690633,-5.74775963,-1.54203747,1.54203747
4680,7,7,5,22,1,662.0,628.71745586,33.28254414,-0.18800098,-0.95913768,0.21144866,16.435737,0.95913768,187.4097524,-2.95516955,-0.79282755,0.79282755
4691,7,7,5,22,1,662.0,629.8678736,32.1321264,-0.27154396,-0.96062215,0.05889791,16.13240663,0.96062215,184.04194271,-2.80480494,-0.75248698,0.75248698
4958,7,7,5,22,1,662.0,617.24573773,44.75426227,-0.23900045,-0.94403219,-0.22733677,19.25987333,0.94403219,218.49874706,-4.58319888,-1.22960334,1.22960334
5102,7,7,5,22,1,662.0,587.45977158,74.54022842,-0.31880127,-0.90205674,0.29096288,25.57025302,0.90205674,285.89542949,-9.71698492,-2.60692093,2.60692093
5402,7,7,5,22,1,662.0,589.45029404,72.54970596,-0.40763308,-0.90499413,0.12174112,25.1775079,0.90499413,281.79620503,-9.33884414,-2.50547144,2.50547144
5424,7,7,5,22,1,662.0,589.62000378,72.37999622,-0.42454344,-0.90524365,0.01722806,25.1438816,0.90524365,281.44459881,-9.30681578,-2.49687871,2.49687871
5433,7,7,5,22,1,662.0,641.58998234,20.41001766,-0.2176074,-0.97544456,0.03398438,12.72343117,0.97544456,145.86144923,-1.42780813,-0.38305945,0.38305945
5478,7,7,5,22,1,662.0,628.17724578,33.82275422,-0.28475511,-0.95843874,-0.01759874,16.57668761,0.95843874,188.97290753,-3.02663748,-0.81200132,0.81200132
5481,7,7,5,22,1,662.0,548.03473872,113.96526128,-0.47200495,-0.83948102,0.26922657,32.91464268,0.83948102,359.80596071,-18.04838406,-4.84211002,4.84211002
5671,7,7,5,22,1,662.0,290.73174301,371.26825699,0.84214579,-0.22504109,-0.49004793,76.99470581,0.22504109,660.4121023,-42.93378788,-11.51848963,11.51848963
5671,8,8,5,22,1,662.0,290.73174301,371.26825699,0.84214579,-0.22504109,-0.49004793,76.99470581,0.22504109,660.4121023,-42.93378788,-11.51848963,11.51848963
