event_number,record_index,step_number,vlm,pdg,track_id,E0_keV,Eprime_k_keV,E0_minus_Eprime_keV,px,py,pz,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_au,Q_abs_au
0,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
1,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
2,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
3,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
4,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
5,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
6,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
7,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
8,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
10,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
12,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
13,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
14,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
15,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
16,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
18,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
19,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
20,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
21,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
23,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
24,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
25,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
26,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
27,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
28,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
29,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
30,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
31,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
32,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
33,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
34,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
35,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
36,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
37,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
38,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
39,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
40,4,4,6,22,1,662.0,662.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,,,
