tree_entry,vector_index,vlm,volume_name,pdg,pro,stp,E0_keV,k,Eprime_keV,Et_keV,px,py,pz,p_magnitude,cos_theta,theta_rad,theta_deg,Eprime_free_keV,Et_free_keV,Eprime_difference_keV,qc_keV_c,Q_keV_c,Abs_Q_keV_c,Q_au,Abs_Q_au,de,x,y,z
127384,2,2,H,22,2013,2,662.0,290.51370302023844,290.51370302023844,371.48629697976156,0.9159480347946196,-0.012952254773399563,0.4010878166339129,1.0,0.012952254773399563,1.5578437098471607,89.2578697152451,290.513715781436,371.486284218564,-1.2761197581312445e-05,719.4861044640991,-95.90319970642176,95.90319970642176,-25.72938624621631,25.72938624621631,0.0,0.0,126.1316502447991,0.0
173811,2,2,H,22,2013,2,662.0,321.2929885776976,321.2929885776976,340.7070114223024,0.5403021583702422,-0.18145641908589905,-0.8216733813584205,1.0,0.18145641908589905,1.3883290720390822,79.54539640315343,321.2930015215733,340.7069984784267,-1.2943875674409355e-05,681.3832185816033,-85.18058356162307,85.18058356162307,-22.85266958604249,22.85266958604249,0.0,0.0,132.65281828397679,0.0
187552,2,2,H,22,2013,2,662.0,443.24281336885065,443.24281336885065,218.75718663114935,0.25797252159984657,-0.6190371641324961,-0.7417837741028135,1.0,0.6190371641324961,0.9032801944584328,51.75414286022449,443.2428248341668,218.7571751658332,-1.1465316163139505e-05,520.9837565117971,-45.92723727377588,45.92723727377588,-12.321587086311531,12.321587086311531,0.0,0.0,132.30643335351908,0.0
227761,2,2,H,22,2013,2,662.0,323.34923961786353,323.34923961786353,338.65076038213647,-0.9415608110295579,-0.1915704206503911,-0.2770631932704041,1.0,0.1915704206503911,1.37803437387365,78.9555536469131,323.3492525659596,338.6507474340404,-1.2948096070886095e-05,678.8112229178926,-84.4743770752374,84.4743770752374,-22.663205005992786,22.663205005992786,0.0,0.0,134.52817966219686,0.0
352910,2,2,H,22,2013,2,662.0,462.86324897400914,462.86324897400914,199.13675102599086,0.5800305571187488,-0.6679062501555744,-0.4663322783291259,1.0,0.6679062501555744,0.839404355275644,48.09432686219432,462.86325987299585,199.13674012700415,-1.0898986715801584e-05,493.1255124607049,-40.20825193201425,40.20825193201425,-10.787269323764749,10.787269323764749,0.0,0.0,129.71683051385745,0.0
440925,2,2,H,22,2013,2,662.0,359.68596438174916,359.68596438174916,302.31403561825084,0.9358685661162438,-0.3512209702260317,0.02817546856772137,1.0,0.3512209702260317,1.211921493859128,69.43798669931796,359.6859772394647,302.3140227605353,-1.285771554648818e-05,632.7385411756168,-72.22078789199576,72.22078789199576,-19.37575130305892,19.37575130305892,0.0,0.0,130.32294959282592,0.0
544871,2,2,H,22,2013,2,662.0,576.9259778823368,576.9259778823368,85.07402211766316,-0.4586440812256867,-0.8861746864642115,-0.06587891792297502,0.9999999999999999,0.8861746864642116,0.4817732333414164,27.603572952834558,576.9259836859582,85.07401631404184,-5.803621320410457e-06,306.89257791963615,-11.791719569135187,11.791719569135187,-3.163541031270004,3.163541031270004,0.0,0.0,130.054458983341,0.0
592636,2,2,H,22,2013,2,662.0,498.10455273955927,498.10455273955927,163.89544726044073,-0.4989432771186309,-0.74601482790287,0.44104136174192593,1.0,0.74601482790287,0.7287388563965224,41.75366083871091,498.10456239271707,163.89543760728293,-9.653157803768408e-06,440.86563422520834,-30.464729427449754,30.464729427449754,-8.173228763219676,8.173228763219676,0.0,0.0,131.66279985520444,0.0
722025,2,2,H,22,2013,2,662.0,190.12745658058054,190.12745658058054,471.87254341941946,-0.3020612332839651,0.9157633201562603,-0.26483306591766964,1.0,-0.9157633201562603,2.728200289215768,156.31436223843406,190.12746718902156,471.87253281097844,-1.0608441016302095e-05,839.5930013557842,-132.6021412301845,132.6021412301845,-35.57516036201957,35.57516036201957,0.0,0.0,134.82805570006275,0.0
846935,7,2,H,22,2013,7,662.0,114.21828826589291,114.21828826589291,547.7817117341071,0.44577456283886646,-0.5690528020993634,0.6909876609236087,0.9999999999999999,0.5690528020993635,0.965442818413659,55.31579885631778,424.82387863126706,237.17612136873294,-310.60559036537416,604.3465889713889,160.99781400315197,160.99781400315197,43.19329234023683,43.19329234023683,0.0,0.2749713311056713,130.08300323562557,-4.967025479547873
868279,2,2,H,22,2013,2,662.0,284.1227810593793,284.1227810593793,377.8772189406207,-0.33875002137404897,0.026612712340305267,0.9404999662737759,1.0,-0.026612712340305267,1.597412181485647,91.52497614191347,284.12279375455694,377.87720624544306,-1.2695177645127842e-05,727.3107221671319,-98.16379575613334,98.16379575613334,-26.335870170504037,26.335870170504037,0.0,0.0,126.424322684987,0.0
952186,2,2,H,22,2013,2,662.0,263.5531217679546,263.5531217679546,398.4468782320454,0.090601407644818,0.1669822437876325,-0.9817883250438586,1.0,-0.1669822437876325,1.7385644682935741,99.61240644462782,263.55313418506694,398.44686581493306,-1.2417112316143175e-05,752.3109435013013,-105.51480359851857,105.51480359851857,-28.308035026887133,28.308035026887133,0.0,0.0,129.45955836252648,0.0
