volume,Q_absolute_au,counts
2,0.5431805028019177,0
2,1.629541508405753,0
2,2.7159025140095885,0
2,3.8022635196134233,0
2,4.888624525217259,0
2,5.974985530821094,0
2,7.06134653642493,0
2,8.147707542028765,0
2,9.2340685476326,0
2,10.320429553236437,0
2,11.406790558840271,0
2,12.493151564444105,0
2,13.579512570047942,0
2,14.665873575651776,0
2,15.752234581255612,0
2,16.838595586859448,0
2,17.924956592463282,0
2,19.011317598067116,0
2,20.097678603670953,0
2,21.18403960927479,0
2,22.270400614878625,0
2,23.35676162048246,0
2,24.443122626086293,0
2,25.52948363169013,0
2,26.615844637293964,0
2,27.702205642897802,0
2,28.788566648501636,0
2,29.87492765410547,0
2,30.961288659709304,0
2,32.047649665313145,0
2,33.13401067091698,0
2,34.22037167652081,0
2,35.30673268212465,0
2,36.39309368772848,0
2,37.479454693332315,0
2,38.565815698936156,0
2,39.65217670453999,0
2,40.738537710143824,0
2,41.82489871574766,0
2,42.9112597213515,0
2,43.99762072695533,0
2,45.08398173255917,0
2,46.170342738163,0
2,47.256703743766835,0
2,48.34306474937067,0
2,49.4294257549745,0
2,50.515786760578344,0
2,51.60214776618218,0
2,52.68850877178601,0
2,53.774869777389846,0
2,54.86123078299369,0
2,55.94759178859752,0
2,57.033952794201355,0
2,58.12031379980519,0
2,59.20667480540902,0
2,60.29303581101286,0
2,61.37939681661669,0
2,62.46575782222053,0
2,63.55211882782437,0
2,64.6384798334282,0
2,65.72484083903204,0
2,66.81120184463587,0
2,67.89756285023971,0
2,68.98392385584354,0
2,70.07028486144738,0
2,71.15664586705121,0
2,72.24300687265504,0
2,73.32936787825888,0
2,74.41572888386271,0
2,75.50208988946656,0
2,76.5884508950704,0
2,77.67481190067423,0
2,78.76117290627806,0
2,79.8475339118819,0
2,80.93389491748573,0
2,82.02025592308956,0
2,83.1066169286934,0
2,84.19297793429723,0
2,85.27933893990107,0
2,86.3656999455049,0
2,87.45206095110875,0
2,88.53842195671258,0
2,89.62478296231642,0
2,90.71114396792025,0
2,91.79750497352408,0
2,92.88386597912792,0
2,93.97022698473175,0
2,95.05658799033559,0
2,96.14294899593942,0
2,97.22931000154325,0
2,98.3156710071471,0
2,99.40203201275094,0
2,100.48839301835477,0
2,101.5747540239586,0
2,102.66111502956244,0
2,103.74747603516627,0
2,104.8338370407701,0
2,105.92019804637394,0
2,107.00655905197777,0
2,108.09292005758161,0
3,0.5431805028019177,1321
3,1.629541508405753,778
3,2.7159025140095885,646
3,3.8022635196134233,599
3,4.888624525217259,490
3,5.974985530821094,448
3,7.06134653642493,462
3,8.147707542028765,482
3,9.2340685476326,418
3,10.320429553236437,425
3,11.406790558840271,364
3,12.493151564444105,345
3,13.579512570047942,390
3,14.665873575651776,354
3,15.752234581255612,364
3,16.838595586859448,316
3,17.924956592463282,320
3,19.011317598067116,328
3,20.097678603670953,337
3,21.18403960927479,321
3,22.270400614878625,311
3,23.35676162048246,348
3,24.443122626086293,289
3,25.52948363169013,335
3,26.615844637293964,365
3,27.702205642897802,386
3,28.788566648501636,407
3,29.87492765410547,461
3,30.961288659709304,430
3,32.047649665313145,548
3,33.13401067091698,543
3,34.22037167652081,610
3,35.30673268212465,678
3,36.39309368772848,252
3,37.479454693332315,35
3,38.565815698936156,38
3,39.65217670453999,27
3,40.738537710143824,26
3,41.82489871574766,32
3,42.9112597213515,30
3,43.99762072695533,33
3,45.08398173255917,17
3,46.170342738163,21
3,47.256703743766835,27
3,48.34306474937067,27
3,49.4294257549745,17
3,50.515786760578344,14
3,51.60214776618218,19
3,52.68850877178601,3
3,53.774869777389846,9
3,54.86123078299369,9
3,55.94759178859752,4
3,57.033952794201355,6
3,58.12031379980519,9
3,59.20667480540902,13
3,60.29303581101286,11
3,61.37939681661669,5
3,62.46575782222053,7
3,63.55211882782437,5
3,64.6384798334282,5
3,65.72484083903204,2
3,66.81120184463587,7
3,67.89756285023971,6
3,68.98392385584354,7
3,70.07028486144738,3
3,71.15664586705121,1
3,72.24300687265504,5
3,73.32936787825888,3
3,74.41572888386271,2
3,75.50208988946656,1
3,76.5884508950704,0
3,77.67481190067423,2
3,78.76117290627806,1
3,79.8475339118819,2
3,80.93389491748573,1
3,82.02025592308956,3
3,83.1066169286934,0
3,84.19297793429723,1
3,85.27933893990107,1
3,86.3656999455049,0
3,87.45206095110875,1
3,88.53842195671258,1
3,89.62478296231642,0
3,90.71114396792025,0
3,91.79750497352408,1
3,92.88386597912792,2
3,93.97022698473175,0
3,95.05658799033559,0
3,96.14294899593942,2
3,97.22931000154325,0
3,98.3156710071471,2
3,99.40203201275094,0
3,100.48839301835477,1
3,101.5747540239586,0
3,102.66111502956244,0
3,103.74747603516627,1
3,104.8338370407701,0
3,105.92019804637394,0
3,107.00655905197777,0
3,108.09292005758161,1
6,0.5431805028019177,0
6,1.629541508405753,0
6,2.7159025140095885,0
6,3.8022635196134233,0
6,4.888624525217259,0
6,5.974985530821094,0
6,7.06134653642493,0
6,8.147707542028765,0
6,9.2340685476326,1
6,10.320429553236437,0
6,11.406790558840271,0
6,12.493151564444105,0
6,13.579512570047942,0
6,14.665873575651776,0
6,15.752234581255612,1
6,16.838595586859448,0
6,17.924956592463282,0
6,19.011317598067116,0
6,20.097678603670953,0
6,21.18403960927479,0
6,22.270400614878625,0
6,23.35676162048246,0
6,24.443122626086293,0
6,25.52948363169013,0
6,26.615844637293964,0
6,27.702205642897802,0
6,28.788566648501636,1
6,29.87492765410547,0
6,30.961288659709304,1
6,32.047649665313145,0
6,33.13401067091698,0
6,34.22037167652081,1
6,35.30673268212465,1
6,36.39309368772848,0
6,37.479454693332315,0
6,38.565815698936156,0
6,39.65217670453999,0
6,40.738537710143824,0
6,41.82489871574766,0
6,42.9112597213515,0
6,43.99762072695533,0
6,45.08398173255917,0
6,46.170342738163,0
6,47.256703743766835,0
6,48.34306474937067,0
6,49.4294257549745,0
6,50.515786760578344,0
6,51.60214776618218,0
6,52.68850877178601,0
6,53.774869777389846,0
6,54.86123078299369,0
6,55.94759178859752,0
6,57.033952794201355,0
6,58.12031379980519,0
6,59.20667480540902,0
6,60.29303581101286,0
6,61.37939681661669,0
6,62.46575782222053,0
6,63.55211882782437,0
6,64.6384798334282,0
6,65.72484083903204,0
6,66.81120184463587,0
6,67.89756285023971,0
6,68.98392385584354,0
6,70.07028486144738,0
6,71.15664586705121,0
6,72.24300687265504,0
6,73.32936787825888,0
6,74.41572888386271,0
6,75.50208988946656,0
6,76.5884508950704,0
6,77.67481190067423,0
6,78.76117290627806,0
6,79.8475339118819,0
6,80.93389491748573,0
6,82.02025592308956,0
6,83.1066169286934,0
6,84.19297793429723,0
6,85.27933893990107,0
6,86.3656999455049,0
6,87.45206095110875,0
6,88.53842195671258,0
6,89.62478296231642,0
6,90.71114396792025,0
6,91.79750497352408,0
6,92.88386597912792,0
6,93.97022698473175,0
6,95.05658799033559,0
6,96.14294899593942,0
6,97.22931000154325,0
6,98.3156710071471,0
6,99.40203201275094,0
6,100.48839301835477,0
6,101.5747540239586,0
6,102.66111502956244,0
6,103.74747603516627,0
6,104.8338370407701,0
6,105.92019804637394,0
6,107.00655905197777,0
6,108.09292005758161,0
