energy_center_keV,raw_counts,smoothed_counts
1.0,228,109.84218196628643
3.0,2,74.09789901120982
5.0,0,33.61362346000117
7.0,0,10.268998979649583
9.0,0,2.2517711874723134
11.0,1,0.5361087271560763
13.0,0,0.2374227185092791
15.0,0,0.12471442148499513
17.0,0,0.1079830442211265
19.0,0,0.2263689731742933
21.0,0,0.4279914502519858
23.0,2,0.5396151375873741
25.0,0,0.46192940516941683
27.0,0,0.3281127459322269
29.0,0,0.28598442127341056
31.0,1,0.28884568481949713
33.0,0,0.25204646635597955
35.0,0,0.2264581942429287
37.0,0,0.28504544576390706
39.0,1,0.38393103089033725
41.0,0,0.43456065587044385
43.0,1,0.41147822232658104
45.0,0,0.35933124815423223
47.0,0,0.33750350789557837
49.0,1,0.3389811498866275
51.0,0,0.3300845478362522
53.0,0,0.3243650966586623
55.0,1,0.3096452285000121
57.0,0,0.25655927881815976
59.0,0,0.2197105464871999
61.0,0,0.24905109769019823
63.0,1,0.27356165935766785
65.0,0,0.2139957251259929
67.0,0,0.10943039602316589
69.0,0,0.03599434807370883
71.0,0,0.007597402196596929
73.0,0,0.0011174176467743013
75.0,0,0.0011174176467743013
77.0,0,0.007597402196596929
79.0,0,0.03599434807370883
81.0,0,0.1093411749545305
83.0,0,0.212967528547854
85.0,1,0.2660534782297063
87.0,0,0.2139957251259929
89.0,0,0.11693857715112743
91.0,0,0.07198869614741767
93.0,0,0.11693857715112743
95.0,0,0.2139957251259929
97.0,1,0.2660534782297063
99.0,0,0.212967528547854
101.0,0,0.1093411749545305
103.0,0,0.03599434807370883
105.0,0,0.007686623265232321
107.0,0,0.002056393156277818
109.0,0,0.007686623265232321
111.0,0,0.03599434807370883
113.0,0,0.1093411749545305
115.0,0,0.212967528547854
117.0,1,0.2659642571610709
119.0,0,0.212967528547854
121.0,0,0.1093411749545305
123.0,0,0.03608356914234422
125.0,0,0.008625598774735838
127.0,0,0.008714819843371231
129.0,0,0.037200986789118526
131.0,0,0.11796677372926634
133.0,0,0.25655927881815976
135.0,1,0.41129978018931024
137.0,0,0.5352762320502384
139.0,1,0.5882729606634554
141.0,1,0.5149261337826337
143.0,0,0.32990610569898143
145.0,0,0.14636371960637823
147.0,0,0.04368097133894115
149.0,0,0.008714819843371231
151.0,0,0.0021456142249132106
153.0,0,0.007686623265232321
155.0,0,0.03608356914234422
157.0,0,0.1103693715326694
159.0,0,0.2206541518130863
161.0,1,0.30298680181291865
163.0,0,0.32990610569898143
165.0,0,0.3583922726447287
167.0,1,0.41232797676744914
169.0,0,0.4411298614889019
171.0,1,0.41232797676744914
173.0,0,0.3583922726447287
175.0,0,0.32990610569898143
177.0,1,0.30298680181291865
179.0,0,0.2206541518130863
181.0,0,0.1103693715326694
183.0,0,0.03608356914234422
185.0,0,0.007597402196596929
187.0,0,0.001028196578138909
189.0,0,0.00017844213727078462
191.0,0,0.001028196578138909
193.0,0,0.007597402196596929
195.0,0,0.03599434807370883
197.0,0,0.1093411749545305
199.0,0,0.2130567496164894
201.0,1,0.2669924537392098
203.0,0,0.2206541518130863
205.0,0,0.14636371960637823
207.0,0,0.15293292522483626
209.0,0,0.25655927881815976
211.0,1,0.3763336286937403
213.0,0,0.4260242781643434
215.0,1,0.3753054321156014
217.0,0,0.24896187662156283
219.0,0,0.11693857715112743
221.0,0,0.03702254465184774
223.0,0,0.007686623265232321
225.0,0,0.001028196578138909
227.0,0,8.922106863539231e-05
229.0,0,8.922106863539231e-05
231.0,0,0.0011174176467743013
233.0,0,0.008625598774735838
235.0,0,0.04359175027030576
237.0,0,0.14542474409687473
239.0,0,0.3233369000805234
241.0,1,0.48652918790552185
243.0,1,0.5150153548512691
245.0,0,0.4326780750350539
247.0,0,0.36590045377269026
249.0,1,0.3455503555050855
251.0,0,0.33093430227712034
253.0,0,0.3234261211491588
255.0,1,0.30204782630341515
257.0,0,0.22056493074445094
259.0,0,0.1103693715326694
261.0,0,0.03617279021097962
263.0,0,0.008625598774735838
265.0,0,0.008625598774735838
267.0,0,0.03608356914234422
269.0,0,0.1093411749545305
271.0,0,0.2130567496164894
273.0,1,0.2669924537392098
275.0,0,0.2206541518130863
277.0,0,0.14636371960637823
279.0,0,0.15293292522483626
281.0,0,0.25673772095543057
283.0,1,0.37839002185001813
285.0,0,0.4412190825575373
287.0,1,0.44738334933165447
289.0,0,0.4686724231087627
291.0,0,0.5504710364434323
293.0,2,0.6049454070476984
295.0,0,0.5429628553154708
297.0,0,0.4326780750350539
299.0,1,0.33804217437712397
301.0,0,0.22816233294104787
303.0,0,0.11139756811080831
305.0,0,0.03617279021097962
307.0,0,0.007597402196596929
309.0,0,0.001028196578138909
311.0,0,8.922106863539231e-05
313.0,0,0.0
315.0,0,0.0
317.0,0,0.0
319.0,0,0.0
321.0,0,8.922106863539231e-05
323.0,0,0.001028196578138909
325.0,0,0.007597402196596929
327.0,0,0.03617279021097962
329.0,0,0.11139756811080831
331.0,0,0.22816233294104787
333.0,1,0.33795295330848857
335.0,0,0.431649878456915
337.0,0,0.5352762320502384
339.0,2,0.5679228623958507
341.0,0,0.43353245929230494
343.0,0,0.2197105464871999
345.0,0,0.07207791721605306
347.0,0,0.015194804393193859
349.0,0,0.002056393156277818
351.0,0,0.00017844213727078462
353.0,0,8.922106863539231e-05
355.0,0,0.001028196578138909
357.0,0,0.007597402196596929
359.0,0,0.03599434807370883
361.0,0,0.10951961709180127
363.0,0,0.21502392170413182
365.0,1,0.2812482826229002
367.0,0,0.28598442127341056
369.0,0,0.3356209270601884
371.0,0,0.49792375324312566
373.0,2,0.6488670914732693
375.0,0,0.6399307822217009
377.0,1,0.4847358281387673
379.0,0,0.28495622469527165
381.0,0,0.12462520041635974
383.0,0,0.03907893780812556
385.0,0,0.015373246530464643
387.0,0,0.03702254465184774
389.0,0,0.10943039602316589
391.0,0,0.212967528547854
393.0,1,0.2659642571610709
395.0,0,0.212967528547854
397.0,0,0.1093411749545305
399.0,0,0.03599434807370883
401.0,0,0.007597402196596929
403.0,0,0.001028196578138909
405.0,0,8.922106863539231e-05
407.0,0,0.0
409.0,0,8.922106863539231e-05
411.0,0,0.001028196578138909
413.0,0,0.007597402196596929
415.0,0,0.03617279021097962
417.0,0,0.11139756811080831
419.0,0,0.22816233294104787
421.0,1,0.33804217437712397
423.0,0,0.4327672961036893
425.0,0,0.5439018308249743
427.0,2,0.6115146126661564
429.0,0,0.5788679823205443
431.0,0,0.5420192499895844
433.0,1,0.5510989239936134
435.0,1,0.4951547866802577
437.0,0,0.33214094099253
439.0,0,0.18356470639549677
