event_number,et_index,stored_et_keV,number_of_vlm4_gamma_records
9922,0,463.6078572360757,4
9922,1,0.0,4
9922,2,0.0,4
9922,3,212.35183577116584,4
9922,4,251.25602146490982,4
10103,0,87.37624674550615,1
10103,1,0.0,1
10103,2,0.0,1
10103,3,87.37624674550615,1
10146,0,149.91648693437585,1
10146,1,0.0,1
10146,2,0.0,1
10146,3,149.91648693437585,1
10277,0,33.37814361201197,1
10277,1,0.0,1
10277,2,0.0,1
10277,3,33.37814361201197,1
10433,0,152.31459605397023,1
10433,1,0.0,1
10433,2,0.0,1
10433,3,152.31459605397023,1
10464,0,87.91301256907047,1
10464,1,0.0,1
10464,2,0.0,1
10464,3,87.91301256907047,1
10622,0,152.8713607965204,1
10622,1,0.0,1
10622,2,0.0,1
10622,3,152.8713607965204,1
10896,0,136.16952920257808,1
10896,1,0.0,1
10896,2,0.0,1
10896,3,136.16952920257808,1
10911,0,165.9674954404542,2
10911,1,0.0,2
10911,2,0.0,2
10911,3,128.4054845625976,2
10911,4,37.5620108778566,2
11032,0,150.72216826162042,1
11032,1,0.0,1
11032,2,0.0,1
11032,3,150.72216826162042,1
11161,0,83.33943180098102,1
11161,1,0.0,1
11161,2,0.0,1
11161,3,83.33943180098102,1
11221,0,360.0472814194536,2
11221,1,0.0,2
11221,2,0.0,2
11221,3,50.0338904784966,2
11221,4,310.013390940957,2
11390,0,84.78833743925318,1
11390,1,0.0,1
11390,2,0.0,1
11390,3,84.78833743925318,1
11414,0,159.51784268470658,2
11414,1,0.0,2
11414,2,0.0,2
11414,3,108.08017756096221,2
11414,4,51.43766512374437,2
11775,0,662.0,1
11775,1,0.0,1
11775,2,0.0,1
11775,3,176.1415819115684,1
11775,4,485.85841808843156,1
11818,0,84.55270465609644,1
11818,1,0.0,1
11818,2,0.0,1
11818,3,84.55270465609644,1
12077,0,71.10623894729962,2
12077,1,0.0,2
12077,2,0.0,2
12077,3,71.10623894729962,2
12253,0,32.074000306174796,1
12253,1,0.0,1
12253,2,0.0,1
12253,3,32.074000306174796,1
12285,0,137.67912904149125,2
12285,1,0.0,2
12285,2,0.0,2
12285,3,74.53393786127826,2
12285,4,63.145191180213,2
12295,0,486.359980058415,2
12295,1,0.0,2
12295,2,0.0,2
12295,3,341.89241733971096,2
12295,4,144.467562718704,2
12463,0,150.3412169702033,1
12463,1,0.0,1
12463,2,0.0,1
12463,3,150.3412169702033,1
12472,0,115.7120578710783,1
12472,1,0.0,1
12472,2,0.0,1
12472,3,115.7120578710783,1
12827,0,67.31608388247511,1
12827,1,0.0,1
12827,2,0.0,1
12827,3,67.31608388247511,1
12849,0,119.79407030232458,1
12849,1,0.0,1
12849,2,0.0,1
12849,3,119.79407030232458,1
12922,0,159.33019928626746,2
12922,1,0.0,2
12922,2,0.0,2
12922,3,127.46903600810377,2
12922,4,31.861163278163684,2
13194,0,331.648494766063,2
13194,1,0.0,2
13194,2,0.0,2
13194,3,161.94435830229946,2
13194,4,169.70413646376352,2
13516,0,449.403808969565,1
13516,1,0.0,1
13516,2,0.0,1
13516,3,22.292922500311896,1
13516,4,0.0,1
13516,5,427.1108864692531,1
13973,0,105.22856008417935,1
13973,1,0.0,1
13973,2,0.0,1
13973,3,105.22856008417935,1
13986,0,151.15131890520206,2
13986,1,0.0,2
13986,2,0.0,2
13986,3,35.26794043010051,2
13986,4,115.88337847510155,2
14004,0,183.34979848120125,2
14004,1,0.0,2
14004,2,0.0,2
14004,3,182.42065501930392,2
14004,4,0.9291434618973193,2
14046,0,506.9899800863103,4
14046,1,0.0,4
14046,2,0.0,4
14046,3,130.7274755371094,4
14046,4,376.2625045492009,4
14079,0,53.10503677624234,1
14079,1,0.0,1
14079,2,0.0,1
14079,3,53.10503677624234,1
14086,0,462.50032072158547,2
14086,1,0.0,2
14086,2,0.0,2
14086,3,123.54099995316226,2
14086,4,338.9593207684232,2
14111,0,128.49855008956635,1
14111,1,0.0,1
14111,2,0.0,1
14111,3,128.49855008956635,1
14320,0,51.96687794520582,1
14320,1,0.0,1
14320,2,0.0,1
14320,3,51.96687794520582,1
14459,0,128.86998137043827,1
14459,1,0.0,1
14459,2,0.0,1
14459,3,128.86998137043827,1
14501,0,143.99151009192911,1
14501,1,0.0,1
14501,2,0.0,1
14501,3,143.99151009192911,1
14552,0,190.82249098219273,1
14552,1,0.0,1
14552,2,0.0,1
14552,3,190.82249098219273,1
14669,0,341.1002614750207,2
14669,1,0.0,2
14669,2,0.0,2
14669,3,149.61462673604697,2
14669,4,191.48563473897377,2
14685,0,33.69537088805308,1
14685,1,0.0,1
14685,2,0.0,1
14685,3,33.69537088805308,1
14731,0,68.49238949660197,1
14731,1,0.0,1
14731,2,0.0,1
14731,3,68.49238949660197,1
14832,0,571.5566636007214,2
14832,1,0.0,2
14832,2,0.0,2
14832,3,539.1122197059432,2
14832,4,32.44444389477828,2
14905,0,146.49271289512666,1
14905,1,0.0,1
14905,2,0.0,1
14905,3,146.49271289512666,1
15090,0,216.9300377072841,2
15090,1,0.0,2
15090,2,0.0,2
15090,3,200.1404797587999,2
15090,4,16.78955794848419,2
15431,0,240.7188640084058,2
15431,1,0.0,2
15431,2,0.0,2
15431,3,128.09093762729472,2
15431,4,112.62792638111108,2
15477,0,377.3279059401348,1
15477,1,0.0,1
15477,2,0.0,1
15477,3,377.3279059401348,1
15486,0,66.93588835463481,1
15486,1,0.0,1
15486,2,0.0,1
15486,3,66.93588835463481,1
15512,0,79.87806720904233,1
15512,1,0.0,1
15512,2,0.0,1
15512,3,79.87806720904233,1
15556,0,662.0,3
15556,1,0.0,3
15556,2,0.0,3
15556,3,85.65838877825927,3
15556,4,576.3416112217408,3
15790,0,412.29251346303204,2
15790,1,0.0,2
15790,2,0.0,2
15790,3,97.03734183565571,2
15790,4,315.25517162737634,2
15997,0,149.6056036774468,1
15997,1,0.0,1
15997,2,0.0,1
15997,3,149.6056036774468,1
16063,0,392.76559034010364,3
16063,1,0.0,3
16063,2,0.0,3
16063,3,141.32602964203323,3
16063,4,251.4395606980704,3
16065,0,109.31235132691874,1
16065,1,0.0,1
16065,2,0.0,1
16065,3,109.31235132691874,1
16105,0,157.4819425841545,1
16105,1,0.0,1
16105,2,0.0,1
16105,3,157.4819425841545,1
16177,0,38.21178897028965,1
16177,1,0.0,1
16177,2,0.0,1
16177,3,38.21178897028965,1
16373,0,70.00330389914544,1
16373,1,0.0,1
16373,2,0.0,1
16373,3,70.00330389914544,1
16546,0,226.33659847927183,1
16546,1,0.0,1
16546,2,0.0,1
16546,3,226.33659847927183,1
16552,0,166.26815404906148,1
16552,1,0.0,1
16552,2,0.0,1
16552,3,166.26815404906148,1
16768,0,30.82380762229453,1
16768,1,0.0,1
16768,2,0.0,1
16768,3,30.82380762229453,1
16849,0,356.06602969042706,2
16849,1,0.0,2
16849,2,0.0,2
16849,3,101.13809551311847,2
16849,4,254.92793417730857,2
16875,0,86.39713907896108,1
16875,1,0.0,1
16875,2,0.0,1
16875,3,86.39713907896108,1
16998,0,51.66851822183516,1
16998,1,0.0,1
16998,2,0.0,1
16998,3,51.66851822183516,1
17041,0,94.21147106702254,1
17041,1,0.0,1
17041,2,0.0,1
17041,3,94.21147106702254,1
17121,0,464.0697402760331,2
17121,1,0.0,2
17121,2,0.0,2
17121,3,58.23847336504395,2
17121,4,405.83126691098914,2
17185,0,52.778401110964545,1
17185,1,0.0,1
17185,2,0.0,1
17185,3,52.778401110964545,1
17208,0,82.08310585536071,1
17208,1,0.0,1
17208,2,0.0,1
17208,3,82.08310585536071,1
17221,0,71.71778921392647,1
17221,1,0.0,1
17221,2,0.0,1
17221,3,71.71778921392647,1
17405,0,101.16652444683027,1
17405,1,0.0,1
17405,2,0.0,1
17405,3,101.16652444683027,1
17424,0,124.80769687409409,1
17424,1,0.0,1
17424,2,0.0,1
17424,3,124.80769687409409,1
17464,0,121.05111897554488,1
17464,1,0.0,1
17464,2,0.0,1
17464,3,121.05111897554488,1
17492,0,70.59290765389281,1
17492,1,0.0,1
17492,2,0.0,1
17492,3,70.59290765389281,1
17571,0,114.01978579252958,1
17571,1,0.0,1
17571,2,0.0,1
17571,3,114.01978579252958,1
17646,0,662.0,2
17646,1,0.0,2
17646,2,0.0,2
17646,3,147.63175472725132,2
17646,4,514.3682452727487,2
17667,0,89.51312861778393,1
17667,1,0.0,1
17667,2,0.0,1
17667,3,89.51312861778393,1
17686,0,41.471418441259125,1
17686,1,0.0,1
17686,2,0.0,1
17686,3,41.471418441259125,1
18038,0,57.82834381295054,1
18038,1,0.0,1
18038,2,0.0,1
18038,3,57.82834381295054,1
18085,0,185.7191116194783,1
18085,1,0.0,1
18085,2,0.0,1
18085,3,185.7191116194783,1
18254,0,170.3521397961477,1
18254,1,0.0,1
18254,2,0.0,1
18254,3,170.3521397961477,1
18260,0,63.59098206377222,1
18260,1,0.0,1
18260,2,0.0,1
18260,3,63.59098206377222,1
18332,0,477.0051780164752,2
18332,1,0.0,2
18332,2,0.0,2
18332,3,435.61869818081675,2
18332,4,41.38647983565846,2
18359,0,158.30833569789527,2
18359,1,0.0,2
18359,2,0.0,2
18359,3,96.30130052075359,2
18359,4,62.007035177141674,2
18366,0,125.23950401799931,1
18366,1,0.0,1
18366,2,0.0,1
18366,3,125.23950401799931,1
18521,0,139.63122652578542,1
18521,1,0.0,1
18521,2,0.0,1
18521,3,139.63122652578542,1
18640,0,32.70490307860763,1
18640,1,0.0,1
18640,2,0.0,1
18640,3,32.70490307860763,1
18700,0,216.17570596571034,2
18700,1,0.0,2
18700,2,0.0,2
18700,3,114.16794663901364,2
18700,4,102.0077593266967,2
18878,0,100.40785070470004,1
18878,1,0.0,1
18878,2,0.0,1
18878,3,100.40785070470004,1
18883,0,203.78595892615576,1
18883,1,0.0,1
18883,2,0.0,1
18883,3,203.78595892615576,1
18884,0,216.51724588168707,1
18884,1,0.0,1
18884,2,0.0,1
18884,3,216.51724588168707,1
19286,0,68.08142352888935,1
19286,1,0.0,1
19286,2,0.0,1
19286,3,68.08142352888935,1
19305,0,176.76350374270905,1
19305,1,0.0,1
19305,2,0.0,1
19305,3,176.76350374270905,1
19431,0,150.59893577520165,1
19431,1,0.0,1
19431,2,0.0,1
19431,3,150.59893577520165,1
19660,0,47.30529565352959,1
19660,1,0.0,1
19660,2,0.0,1
19660,3,47.30529565352959,1
19700,0,90.10887892275842,1
19700,1,0.0,1
19700,2,0.0,1
19700,3,90.10887892275842,1
19762,0,61.767046482454454,1
19762,1,0.0,1
19762,2,0.0,1
19762,3,61.767046482454454,1
19862,0,99.55456625278313,1
19862,1,0.0,1
19862,2,0.0,1
19862,3,99.55456625278313,1
19911,0,166.7581198160213,1
19911,1,0.0,1
19911,2,0.0,1
19911,3,166.7581198160213,1
19928,0,100.6458393803924,1
19928,1,0.0,1
19928,2,0.0,1
19928,3,100.6458393803924,1
20713,0,181.72015202378338,1
20713,1,0.0,1
20713,2,0.0,1
20713,3,181.72015202378338,1
20798,0,143.05720027549586,3
20798,1,0.0,3
20798,2,0.0,3
20798,3,34.56390052580127,3
20798,4,108.49329974969457,3
20883,0,74.93507943684673,1
20883,1,0.0,1
20883,2,0.0,1
20883,3,74.93507943684673,1
21496,0,180.54987563039586,1
21496,1,0.0,1
21496,2,0.0,1
21496,3,180.54987563039586,1
21570,0,159.76427798401016,1
21570,1,0.0,1
21570,2,0.0,1
21570,3,159.76427798401016,1
21711,0,55.59387689321205,1
21711,1,0.0,1
21711,2,0.0,1
21711,3,55.59387689321205,1
21743,0,73.42690615068403,1
21743,1,0.0,1
21743,2,0.0,1
21743,3,73.42690615068403,1
21861,0,157.866591142634,1
21861,1,0.0,1
21861,2,0.0,1
21861,3,157.866591142634,1
22108,0,291.97477582258193,2
22108,1,0.0,2
22108,2,0.0,2
22108,3,106.22457766374305,2
22108,4,185.75019815883886,2
22365,0,128.18076073019768,1
22365,1,0.0,1
22365,2,0.0,1
22365,3,128.18076073019768,1
22413,0,146.81790349812184,1
22413,1,0.0,1
22413,2,0.0,1
22413,3,146.81790349812184,1
22578,0,155.9789083837827,1
22578,1,0.0,1
22578,2,0.0,1
22578,3,155.9789083837827,1
22616,0,495.758342300819,4
22616,1,0.0,4
22616,2,0.0,4
22616,3,80.61575552601607,4
22616,4,415.1425867748029,4
22873,0,78.45674264360235,1
22873,1,0.0,1
22873,2,0.0,1
22873,3,78.45674264360235,1
23228,0,116.57732511391083,1
23228,1,0.0,1
23228,2,0.0,1
23228,3,116.57732511391083,1
23381,0,50.787228647957704,1
23381,1,0.0,1
23381,2,0.0,1
23381,3,50.787228647957704,1
23636,0,29.17638167143677,1
23636,1,0.0,1
23636,2,0.0,1
23636,3,29.17638167143677,1
23681,0,80.55337682246643,1
23681,1,0.0,1
23681,2,0.0,1
23681,3,80.55337682246643,1
23699,0,41.34448923486478,1
23699,1,0.0,1
23699,2,0.0,1
23699,3,41.34448923486478,1
23732,0,296.2110210397242,2
23732,1,0.0,2
23732,2,0.0,2
23732,3,100.84429825605888,2
23732,4,195.3667227836653,2
23760,0,32.17409457737952,1
23760,1,0.0,1
23760,2,0.0,1
23760,3,32.17409457737952,1
23967,0,83.51750934161073,1
23967,1,0.0,1
23967,2,0.0,1
23967,3,83.51750934161073,1
23984,0,229.6272870583144,1
23984,1,0.0,1
23984,2,0.0,1
23984,3,229.6272870583144,1
24034,0,108.20700285486295,1
24034,1,0.0,1
24034,2,0.0,1
24034,3,108.20700285486295,1
24096,0,154.26059148838357,2
24096,1,0.0,2
24096,2,0.0,2
24096,3,142.26037890965048,2
24096,4,12.000212578733072,2
24273,0,200.47584382098182,1
24273,1,0.0,1
24273,2,0.0,1
24273,3,200.47584382098182,1
24356,0,78.5916784902203,1
24356,1,0.0,1
24356,2,0.0,1
24356,3,78.5916784902203,1
24402,0,148.89136297156057,2
24402,1,0.0,2
24402,2,0.0,2
24402,3,60.592514562295975,2
24402,4,88.29884840926461,2
24454,0,63.055472897661,1
24454,1,0.0,1
24454,2,0.0,1
24454,3,63.055472897661,1
24586,0,662.0,2
24586,1,0.0,2
24586,2,0.0,2
24586,3,223.2584036672348,2
24586,4,438.7415963327652,2
24792,0,35.55042860370583,1
24792,1,0.0,1
24792,2,0.0,1
24792,3,35.55042860370583,1
24947,0,70.4175635204689,1
24947,1,0.0,1
24947,2,0.0,1
24947,3,70.4175635204689,1
25045,0,182.7997126280464,1
25045,1,0.0,1
25045,2,0.0,1
25045,3,182.7997126280464,1
25097,0,281.35384157662736,2
25097,1,0.0,2
25097,2,0.0,2
25097,3,145.45076084088026,2
25097,4,135.90308073574707,2
25224,0,99.0736408080124,1
25224,1,0.0,1
25224,2,0.0,1
25224,3,99.0736408080124,1
25544,0,75.76277007304088,1
25544,1,0.0,1
25544,2,0.0,1
25544,3,75.76277007304088,1
25620,0,57.3014591995944,1
25620,1,0.0,1
25620,2,0.0,1
25620,3,57.3014591995944,1
25785,0,417.11412084861036,2
25785,1,0.0,2
25785,2,0.0,2
25785,3,183.73489331292674,2
25785,4,233.37922753568358,2
25796,0,402.6641765704324,3
25796,1,0.0,3
25796,2,0.0,3
25796,3,85.87306365401359,3
25796,4,316.7911129164188,3
25816,0,231.83541694900168,2
25816,1,0.0,2
25816,2,0.0,2
25816,3,200.0173028345848,2
25816,4,31.818114114416872,2
25883,0,128.94838828706057,1
25883,1,0.0,1
25883,2,0.0,1
25883,3,128.94838828706057,1
25913,0,67.8946286839277,1
25913,1,0.0,1
25913,2,0.0,1
25913,3,67.8946286839277,1
26048,0,131.72483328137994,1
26048,1,0.0,1
26048,2,0.0,1
26048,3,131.72483328137994,1
26106,0,55.18491618210919,1
26106,1,0.0,1
26106,2,0.0,1
26106,3,55.18491618210919,1
26366,0,101.3112095710802,1
26366,1,0.0,1
26366,2,0.0,1
26366,3,101.3112095710802,1
26381,0,83.80249410975715,1
26381,1,0.0,1
26381,2,0.0,1
26381,3,83.80249410975715,1
26450,0,215.72861818896365,1
26450,1,0.0,1
26450,2,0.0,1
26450,3,215.72861818896365,1
26496,0,148.34130666719548,1
26496,1,0.0,1
26496,2,0.0,1
26496,3,148.34130666719548,1
26514,0,84.23316161682115,1
26514,1,0.0,1
26514,2,0.0,1
26514,3,84.23316161682115,1
26648,0,23.874045417671354,1
26648,1,0.0,1
26648,2,0.0,1
26648,3,23.874045417671354,1
26670,0,139.3120355338595,1
26670,1,0.0,1
26670,2,0.0,1
26670,3,139.3120355338595,1
26706,0,308.1536929482224,1
26706,1,0.0,1
26706,2,0.0,1
26706,3,308.1536929482224,1
26719,0,91.66560583501514,1
26719,1,0.0,1
26719,2,0.0,1
26719,3,91.66560583501514,1
26753,0,221.158418694817,1
26753,1,0.0,1
26753,2,0.0,1
26753,3,221.158418694817,1
26763,0,83.51203364516368,1
26763,1,0.0,1
26763,2,0.0,1
26763,3,83.51203364516368,1
26767,0,237.52509877310774,2
26767,1,0.0,2
26767,2,0.0,2
26767,3,141.142088313162,2
26767,4,96.38301045994574,2
27038,0,91.871802249322,1
27038,1,0.0,1
27038,2,0.0,1
27038,3,91.871802249322,1
27068,0,223.5639550303402,1
27068,1,0.0,1
27068,2,0.0,1
27068,3,223.5639550303402,1
27279,0,438.7178225820228,3
27279,1,0.0,3
27279,2,0.0,3
27279,3,139.17135303023576,3
27279,4,299.546469551787,3
27298,0,458.8906436162826,2
27298,1,0.0,2
27298,2,0.0,2
27298,3,42.80256828035422,2
27298,4,416.08807533592835,2
27322,0,318.90628959467807,2
27322,1,0.0,2
27322,2,0.0,2
27322,3,166.65973535704686,2
27322,4,152.24655423763122,2
