event_number,track_id,record_index,step_number,vlm,pdg,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,stored_et_keV,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au,px,py,pz
75401,1,6,6,4,22,662.0,510.416128,151.583872,,39.577824,0.77076,421.77726,-27.238713,-7.307737,7.307737,0.635604,-0.77076,-0.044011
75575,1,7,7,4,22,662.0,433.773839,228.226161,,60.272417,0.495877,584.47711,-92.703678,-24.871003,24.871003,0.669047,-0.495877,-0.553608
75716,1,7,7,4,22,662.0,632.124268,29.875732,,15.524082,0.963518,177.272368,-2.517297,-0.675353,0.675353,0.227195,-0.963518,0.141475
75794,1,7,7,4,22,662.0,516.712973,145.287027,,51.136357,0.627469,525.325743,-121.337852,-32.553121,32.553121,0.703167,-0.627469,0.334423
75920,1,7,7,4,22,662.0,562.651179,99.348821,,30.265037,0.863703,333.773077,-14.785452,-3.966714,3.966714,0.500767,-0.863703,-0.057002
75949,1,7,7,4,22,662.0,598.28693,63.71307,,23.393704,0.917798,263.009455,-7.716864,-2.070319,2.070319,0.332194,-0.917798,0.217471
75956,1,7,7,4,22,662.0,624.217036,37.782964,,17.583464,0.953278,200.104121,-3.566818,-0.956924,0.956924,0.288514,-0.953278,0.08956
76084,1,6,6,4,22,662.0,387.253433,274.746567,,83.355052,0.115716,727.240466,-170.567863,-45.760793,45.760793,0.800391,-0.115716,0.588203
76265,1,7,7,4,22,662.0,449.38855,212.61145,,45.43294,0.701744,471.872173,-5.69481,-1.527832,1.527832,0.685037,-0.701744,-0.195652
76385,1,7,7,4,22,662.0,456.677719,205.322281,,49.23538,0.652953,501.992194,-41.989489,-11.265148,11.265148,0.743448,-0.652953,-0.144699
76476,1,6,6,4,22,662.0,509.832403,152.167597,,39.680792,0.769614,422.693659,-27.389393,-7.348162,7.348162,0.609158,-0.769614,0.191366
76593,1,7,7,4,22,662.0,377.291428,284.708572,,38.776875,0.779591,437.219426,114.143298,30.62293,30.62293,0.322769,-0.779591,0.536711
76960,1,7,7,4,22,662.0,603.205812,58.794188,,22.36734,0.924763,252.079924,-6.856215,-1.839419,1.839419,0.366411,-0.924763,-0.102743
76995,1,6,6,4,22,662.0,477.336515,184.663485,,45.462144,0.70138,472.044788,-36.119666,-9.690363,9.690363,0.662005,-0.70138,0.264225
77112,1,6,6,4,22,662.0,484.991514,177.008486,,44.087571,0.718277,460.688932,-34.005178,-9.123078,9.123078,0.672903,-0.718277,0.17686
77162,3,18,0,4,22,662.0,239.158263,422.841737,,28.800199,0.876305,466.86465,229.383027,61.540017,61.540017,-0.311254,-0.876305,-0.36771
77291,1,7,7,4,22,662.0,176.652536,485.347464,,138.393728,-0.747725,802.704234,-92.380838,-24.784389,24.784389,-0.660924,0.747725,0.063921
77375,1,6,6,4,22,662.0,525.292977,136.707023,,36.954489,0.799113,397.998856,-23.478098,-6.298821,6.298821,0.592261,-0.799113,0.103175
77436,1,7,7,4,22,662.0,185.441914,476.558086,,148.783133,-0.855212,826.201333,-118.352677,-31.752243,31.752243,-0.28226,0.855212,-0.434675
77510,1,7,7,4,22,662.0,308.220782,353.779218,,79.616404,0.180238,678.005853,-72.366319,-19.414795,19.414795,0.587793,-0.180238,0.788679
77976,1,7,7,4,22,662.0,632.596661,29.403339,,15.394323,0.964122,175.825778,-2.458377,-0.659546,0.659546,0.249669,-0.964122,-0.090192
77999,1,6,6,4,22,662.0,525.974562,136.025438,,36.83418,0.800374,396.888676,-23.309588,-6.253612,6.253612,0.55116,-0.800374,-0.235849
78027,1,7,7,4,22,662.0,588.346696,73.653304,,25.395629,0.903368,284.074507,-9.547933,-2.561567,2.561567,0.348306,-0.903368,0.250219
78076,1,7,7,4,22,662.0,593.316722,68.683278,,24.405577,0.910643,273.699751,-8.617551,-2.311959,2.311959,0.395823,-0.910643,0.118543
78199,1,7,7,4,22,662.0,181.155727,480.844273,,90.300853,-0.005251,687.256004,13.897319,3.728442,3.728442,-0.96561,0.005251,-0.259941
78266,1,7,7,4,22,662.0,587.97642,74.02358,,25.468603,0.902821,284.835792,-9.6184,-2.580472,2.580472,0.427604,-0.902821,0.045484
78276,1,7,7,4,22,662.0,570.43782,91.56218,,28.82452,0.8761,319.311731,-13.127349,-3.52187,3.52187,0.478253,-0.8761,-0.061007
78281,1,7,7,4,22,662.0,614.278909,47.721091,,19.942772,0.940034,225.938385,-5.039424,-1.352002,1.352002,0.284062,-0.940034,-0.1888
78370,1,7,7,4,22,662.0,558.54622,103.45378,,31.015429,0.857029,341.221662,-15.682561,-4.207395,4.207395,0.495409,-0.857029,-0.141677
78607,1,7,7,4,22,662.0,472.91191,189.08809,,25.074331,0.905759,307.834509,159.96573,42.9164,42.9164,-0.328416,-0.905759,0.267851
78944,1,6,6,4,22,662.0,541.654901,120.345099,,34.055186,0.828499,370.776714,-19.530192,-5.239657,5.239657,0.48512,-0.828499,0.27973
78984,1,7,7,4,22,662.0,199.758147,462.241853,,112.711655,-0.386094,761.74884,-70.791129,-18.992195,18.992195,-0.479895,0.386094,-0.787802
78989,1,7,7,4,22,662.0,486.407169,175.592831,,43.834466,0.721344,458.572059,-33.6179,-9.019177,9.019177,0.683196,-0.721344,0.113604
79068,1,7,7,4,22,662.0,615.69895,46.30105,,19.617939,0.941952,222.403595,-4.819361,-1.292962,1.292962,0.296761,-0.941952,-0.15703
79108,1,7,7,4,22,662.0,643.601879,18.398121,,12.058646,0.977934,138.352197,-1.223149,-0.328153,0.328153,0.208141,-0.977934,0.017945
79155,1,7,7,4,22,662.0,461.212979,200.787021,,48.397715,0.663956,495.499067,-40.681197,-10.914153,10.914153,0.713697,-0.663956,-0.223157
79190,1,7,7,4,22,662.0,546.276349,115.723651,,33.229771,0.83648,362.851598,-18.453427,-4.950777,4.950777,0.489247,-0.83648,-0.246858
79221,1,7,7,4,22,662.0,180.313554,481.686446,,162.961315,-0.956107,836.070185,-123.631849,-33.168566,33.168566,-0.159344,0.956107,0.245904
79258,1,7,7,4,22,662.0,559.964623,102.035377,,30.756772,0.859346,338.66082,-15.37083,-4.123763,4.123763,0.498137,-0.859346,-0.115691
79302,1,7,7,4,22,662.0,586.552072,75.447928,,25.748365,0.900711,287.749905,-9.890925,-2.653586,2.653586,0.397534,-0.900711,0.175177
79349,1,7,7,4,22,662.0,415.681789,246.318211,,37.271647,0.795773,416.018559,94.545987,25.365266,25.365266,0.317198,-0.795773,-0.515878
79682,1,7,7,4,22,662.0,367.240231,294.759769,,76.17367,0.23898,675.952085,-115.146281,-30.892016,30.892016,0.692702,-0.23898,-0.68048
79717,1,7,7,4,22,662.0,425.836406,236.163594,,55.116274,0.571913,545.098084,-51.158433,-13.725038,13.725038,0.808091,-0.571913,0.141083
79776,1,7,7,4,22,662.0,599.675039,62.324961,,23.106744,0.919775,259.962257,-7.470825,-2.00431,2.00431,0.306539,-0.919775,-0.245046
