volume,theta_bin_left_deg,theta_bin_right_deg,theta_bin_center_deg,counts,mean_theta_deg,std_theta_deg,mean_Eprime_keV,std_Eprime_keV,mean_Et_keV,std_Et_keV,mean_qc_keV_c,std_qc_keV_c,mean_Q_keV_c,std_Q_keV_c,mean_Q_au,std_Q_au,mean_Abs_Q_au,std_Abs_Q_au
2,0.0,2.0,1.0,1,1.498322603798181,,661.7069010030816,,0.29309899691838837,,17.30989436469385,,-0.0024807654036222864,,-0.0006655520509371962,,0.0006655520509371962,
2,2.0,4.0,3.0,3,3.057938146446256,0.3930886312603732,660.7677879239748,0.3051466038982677,1.2322120760252346,0.3051466038982677,35.315459489824875,4.535989318474249,-0.02171190857186145,0.0077496284636958766,-0.0058249785564824215,0.0020791087744463613,0.0058249785564824215,0.0020791087744463613
2,4.0,6.0,5.0,8,4.768870259541394,0.4284472189982635,659.0240104807772,0.5543227916118179,2.975989519222864,0.5543227916118155,55.03900312242186,4.932494522164114,-0.08105483291487196,0.023586858427423498,-0.021745792732394326,0.006327999406399,0.021745792732394326,0.006327999406399
2,6.0,8.0,7.0,19,6.864124848700804,0.6234863635188801,655.8643067751037,1.1004736636767936,6.135693224896302,1.100473663676797,79.12627611755686,7.154406897495564,-0.23966118259741362,0.06413277733801057,-0.06429749115931664,0.01720585970252847,0.06429749115931664,0.01720585970252847
2,8.0,10.0,9.0,23,9.047476555356411,0.5518703177943832,651.4649609344709,1.2551880364442596,10.53503906552909,1.2551880364442594,104.12156812491781,6.301303133572033,-0.5347294686066717,0.0946813461954712,-0.14345987492734083,0.025401581324005384,0.14345987492734083,0.025401581324005384
2,10.0,12.0,11.0,25,11.143191423579992,0.5011844496298347,646.1902748755028,1.3684157468333904,15.809725124497128,1.3684157468334015,127.97728265407602,5.6885122007817985,-0.9782248797041031,0.12489618556914266,-0.26244302424332994,0.03350776834375423,0.26244302424332994,0.03350776834375423
2,12.0,14.0,13.0,30,13.028749704689064,0.6075661987452355,615.2903312146976,97.69881580017112,46.70966878530229,97.69881580017113,166.65402119477784,68.89663607276863,17.803338642393335,73.73178891998732,4.776368023220958,19.781130155762845,5.541353241295549,19.573656706796974
2,14.0,16.0,15.0,32,15.075312602954188,0.6205140170180753,630.8263460015799,15.892565429448647,31.173653998420093,15.892565429448652,173.0930089216794,7.327745296107406,4.683459706326228,39.72234713202733,1.2565018072550231,10.656908373180983,2.4719935383722995,10.435111341381367
2,16.0,18.0,17.0,26,16.898475024501774,0.6099540059860289,608.2216477077303,85.76096610892161,53.778352292269695,85.76096610892162,204.25812382871163,57.024040571057895,10.939300483416435,54.66547409814271,2.9348498096294007,14.665924616793216,4.518885524192586,14.241140494032026
2,18.0,20.0,19.0,38,19.05373408996127,0.5594509113444183,606.903458324556,69.69831843587595,55.09654167544388,69.69831843587592,223.15977658063142,44.64274167162855,2.2623757940539293,41.337600829894804,0.6069614029301894,11.090256649414549,2.9283282254151137,10.70351744458687
2,20.0,22.0,21.0,30,20.90154541843417,0.5759831054088812,609.9750003749649,2.6201101056833007,52.02499962503505,2.6201101056832945,236.31613364920972,6.216599837983602,-5.729816489104693,0.42744121779268224,-1.5372235964953112,0.11467605068243168,1.5372235964953112,0.11467605068243168
2,22.0,24.0,23.0,26,23.130973369431697,0.5506719051509231,599.5407277441681,2.650600580225776,62.45927225583197,2.650600580225769,260.20795810902,5.856088081103746,-7.499109316402609,0.46672367551735633,-2.011898254646054,0.12521494334287264,2.011898254646054,0.12521494334287264
2,24.0,26.0,25.0,35,24.89035305602778,0.5590382961647035,568.2895361689122,86.8275068996531,93.71046383108788,86.8275068996531,289.3643054267275,47.72388556380654,9.214410126691925,61.2730012890849,2.47208766658938,16.43862479518721,6.918374279105497,15.074736474263924
2,26.0,28.0,27.0,42,27.042563301337957,0.5903603434903657,578.5815550423885,8.827981992839343,83.41844495761154,8.827981992839314,301.27411350066967,6.160527194589367,-9.24141648629762,12.755306010133701,-2.4793330667379285,3.422056782547983,3.3909963138423587,2.495631835857916
2,28.0,30.0,29.0,35,28.90040735828379,0.5747989795030626,564.1859540988966,38.380159969649846,97.81404590110348,38.38015996964984,322.30212574760634,13.901257735636733,-7.798693448230048,38.790644770114376,-2.092272171935796,10.406946640834683,5.347935948026368,9.130678318498218
2,30.0,32.0,31.0,39,31.08158554758841,0.5622306805983838,546.0244231802295,67.2448403784334,115.97557681977044,67.24484037843344,347.2294709214483,33.118460041801576,-7.888779946626026,38.52421265590194,-2.116441024694565,10.335466911316242,5.896896501768066,8.702332921521787
2,32.0,34.0,33.0,33,33.05893883867254,0.5349360448586158,536.3119616415948,62.52560743519285,125.68803835840514,62.525607435192825,365.8833682984614,27.07193817572207,-11.21224203201619,40.42363643726645,-3.008075922502184,10.845053747475829,6.486590451140697,9.140883526439437
