energy_center_keV,raw_counts,smoothed_counts
1.0,0,0.0
3.0,0,0.0
5.0,0,0.0
7.0,0,0.0
9.0,0,0.0
11.0,0,0.0
13.0,0,0.0
15.0,0,8.922106863539231e-05
17.0,0,0.001028196578138909
19.0,0,0.007597402196596929
21.0,0,0.03599434807370883
23.0,0,0.1093411749545305
25.0,0,0.212967528547854
27.0,1,0.2659642571610709
29.0,0,0.212967528547854
31.0,0,0.1093411749545305
33.0,0,0.03599434807370883
35.0,0,0.007597402196596929
37.0,0,0.001028196578138909
39.0,0,8.922106863539231e-05
41.0,0,0.0
43.0,0,0.0
45.0,0,0.0
47.0,0,0.0
49.0,0,0.0
51.0,0,0.0
53.0,0,0.0
55.0,0,0.0
57.0,0,0.0
59.0,0,0.0
61.0,0,0.0
63.0,0,0.0
65.0,0,0.0
67.0,0,8.922106863539231e-05
69.0,0,0.001028196578138909
71.0,0,0.007597402196596929
73.0,0,0.03599434807370883
75.0,0,0.1093411749545305
77.0,0,0.212967528547854
79.0,1,0.2659642571610709
81.0,0,0.212967528547854
83.0,0,0.1093411749545305
85.0,0,0.03599434807370883
87.0,0,0.007597402196596929
89.0,0,0.001028196578138909
91.0,0,8.922106863539231e-05
93.0,0,0.0
95.0,0,0.0
97.0,0,0.0
99.0,0,0.0
101.0,0,0.0
103.0,0,0.0
105.0,0,0.0
107.0,0,0.0
109.0,0,0.0
111.0,0,0.0
113.0,0,0.0
115.0,0,0.0
117.0,0,0.0
119.0,0,0.0
121.0,0,0.0
123.0,0,0.0
125.0,0,0.0
127.0,0,0.0
129.0,0,0.0
131.0,0,0.0
133.0,0,0.0
135.0,0,0.0
137.0,0,0.0
139.0,0,0.0
141.0,0,0.0
143.0,0,0.0
145.0,0,0.0
147.0,0,0.0
149.0,0,0.0
151.0,0,0.0
153.0,0,0.0
155.0,0,0.0
157.0,0,0.0
159.0,0,0.0
161.0,0,0.0
163.0,0,0.0
165.0,0,0.0
167.0,0,0.0
169.0,0,0.0
171.0,0,8.922106863539231e-05
173.0,0,0.001028196578138909
175.0,0,0.007597402196596929
177.0,0,0.03599434807370883
179.0,0,0.1093411749545305
181.0,0,0.212967528547854
183.0,1,0.2659642571610709
185.0,0,0.212967528547854
187.0,0,0.1093411749545305
189.0,0,0.03599434807370883
191.0,0,0.007597402196596929
