tree_entry,vector_index,vlm,pdg,pro,stp,E0_keV,k,Eprime_keV,Et_keV,px,py,pz,p_magnitude,cos_theta,theta_rad,theta_deg,Eprime_free_keV,Et_free_keV,Eprime_difference_keV,qc_keV_c,Q_keV_c,Abs_Q_keV_c,Q_au,Abs_Q_au,de,x,y,z
4,3,3,22,2013,3,662.0,189.93067967809725,189.93067967809725,472.06932032190275,-0.07809933203390008,0.9185478644642038,-0.3875181479932383,1.0,-0.9185478644642038,2.7351875793189704,156.7147044715811,189.93069027997808,472.0693097200219,-1.0601880831018207e-05,839.823350143975,-132.6763571085714,132.6763571085714,-35.595071366099354,35.595071366099354,0.0,0.0,-1.637053410853352,0.0
57,3,3,22,2013,3,662.0,348.7021742729392,348.7021742729392,313.2978257270608,0.8999952761382716,-0.3064708658583427,-0.3099743720194203,0.9999999999999999,0.30647086585834277,1.2593130592145214,72.1533233787004,348.7021871909025,313.2978128090975,-1.2917963317704562e-05,646.7961212848294,-75.8782399208706,75.8782399208706,-20.356990680014004,20.356990680014004,0.0,0.0,-0.6105335457229608,0.0
75,3,3,22,2013,3,662.0,560.9963242815992,560.9963242815992,101.00367571840081,0.46747384006790377,-0.8610242112664637,0.2002636174274599,1.0,0.8610242112664637,0.5335161466234557,30.568223503606816,560.9963309816669,101.00366901833308,-6.7000677290707245e-06,336.78966567402335,-15.145557402892523,15.145557402892523,-4.063325285560507,4.063325285560507,0.0,0.0,-0.9098947311341474,0.0
76,3,3,22,2013,3,662.0,654.2146975734107,654.2146975734107,7.785302426589283,-0.0028099021349836917,-0.9908141959829391,-0.13520108538275047,1.0,0.9908141959829391,0.13564587522964935,7.771936159017065,654.214698175662,7.785301824338035,-6.022512479830766e-07,89.53866785857603,-0.3384588608408764,0.3384588608408764,-0.09080342246856409,0.09080342246856409,0.0,0.0,0.4479005856876821,0.0
110,3,3,22,2013,3,662.0,621.5411981526609,621.5411981526609,40.458801847339146,0.29997560804283524,-0.9497535849955565,-0.08934630584092157,1.0,0.9497535849955565,0.3183486438624698,18.240033707032836,621.5412011261402,40.45879887385979,-2.973479354295705e-06,207.3299832024183,-3.9475993412399877,3.9475993412399877,-1.0590815374981857,1.0590815374981857,0.0,0.0,-1.8310962268955828,0.0
298,3,3,22,2013,3,662.0,394.35064440809913,394.35064440809913,267.64935559190087,-0.6628930974465803,-0.47610333775641844,0.5778393835097053,1.0,0.47610333775641844,1.0745780570369516,61.56878742558558,394.35065688856406,267.64934311143594,-1.2480464931741153e-05,587.5144555567014,-60.9654413259774,60.9654413259774,-16.356111082309127,16.356111082309127,0.0,0.0,-1.3448600257868155,0.0
310,3,3,22,2013,3,662.0,661.5978350039387,661.5978350039387,0.40216499606128764,-0.018951317063415685,-0.9995307846876754,0.0240636248973792,1.0,0.9995307846876754,0.03063501299988102,1.7552569502215936,661.5978350354003,0.40216496459970585,-3.14615817842423e-08,20.277413196434235,-0.003987306201598894,0.003987306201598894,-0.0010697342910030354,0.0010697342910030354,0.0,0.0,-2.4278745221063405,0.0
320,3,3,22,2013,3,662.0,277.305046195377,277.305046195377,384.694953804623,0.9291758809802568,0.07083042284379215,0.36278813845594954,1.0,-0.07083042284379215,1.6416861091824373,94.06168534140691,277.3050588094772,384.6949411905228,-1.2614100228347525e-05,735.6273592220904,-100.58773294106473,100.58773294106473,-26.98617606497452,26.98617606497452,0.0,0.0,-2.3995353393381453,0.0
348,3,3,22,2013,3,662.0,191.39331633534405,191.39331633534405,470.606683664656,0.17038480477986834,0.8979873234861733,-0.4056942015339447,1.0,-0.8979873234861733,2.685970232270437,153.89475820686945,191.39332698576757,470.60667301423246,-1.0650423519109609e-05,838.1107656464947,-132.1249064796792,132.1249064796792,-35.44712545532765,35.44712545532765,0.0,0.0,-1.8314629371633355,0.0
389,3,3,22,2013,3,662.0,207.7303629515665,207.7303629515665,454.26963704843354,-0.11477279918687784,0.6880127177663637,0.7165652131931541,1.0,-0.6880127177663637,2.329543371918286,133.47300340359246,207.73037410980675,454.26962589019325,-1.1158240255326746e-05,818.916040812369,-125.99635159047158,125.99635159047158,-33.80292634249032,33.80292634249032,0.0,0.0,1.4597987354250115,0.0
