volume,number_of_et_records,curve_peak_energy_keV,curve_left_half_keV,curve_right_half_keV,curve_FWHM_keV,curve_resolution_percent,gaussian_centroid_keV,gaussian_sigma_keV,gaussian_FWHM_keV,gaussian_resolution_percent
4,0,,,,,,,,,
5,15,517.0,513.4562730001826,520.5437269998174,7.087453999634818,1.370880850993195,517.0001511319492,0.2708036898542856,0.6376939449426688,0.12334502099205694
