tree_entry,vector_index,vlm,pdg,pro,stp,E0_keV,k,Eprime_keV,Et_keV,px,py,pz,p_magnitude,cos_theta,theta_rad,theta_deg,Eprime_free_keV,Et_free_keV,Eprime_difference_keV,qc_keV_c,Q_keV_c,Abs_Q_keV_c,Q_au,Abs_Q_au,de,x,y,z
70,2,2,22,2013,2,662.0,656.2643200387603,656.2643200387603,5.735679961239725,-0.11512747011592735,-0.9932536619101171,0.01388627836567817,1.0,0.9932536619101171,0.11622338214833704,6.659109277835827,656.2643204838482,5.735679516151777,-4.45087948719447e-07,76.77727815716271,-0.21424024498441432,0.21424024498441432,-0.05747743588912703,0.05747743588912703,0.0,0.0,8.658918654901868,0.0
112,4,2,22,2013,4,662.0,295.13735007861726,295.13735007861726,366.86264992138274,-0.9958673139900863,-0.04050810739094701,0.0812858300183628,0.9999999999999999,0.04050810739094702,1.5302771328777118,87.67842119927316,295.13736288155656,366.86263711844344,-1.2802939295397664e-05,713.8074196633258,-94.27484980599311,94.27484980599311,-25.292524455782107,25.292524455782107,0.0,0.0,-7.73079563959664,0.0
121,4,2,22,2013,4,662.0,473.3380404105703,473.3380404105703,188.66195958942973,0.6239484236702231,-0.6923372505254765,0.3624327470500803,1.0,0.6923372505254765,0.8060731862114647,46.18459154857983,473.33805096993405,188.66194903006595,-1.0559363772699726e-05,477.9178239126983,-37.237907985692445,37.237907985692445,-9.990370712321374,9.990370712321374,0.0,0.0,-8.894200106307538,0.0
122,4,2,22,2013,4,662.0,574.7777930907383,574.7777930907383,87.22220690926167,-0.1508612460339328,-0.8828643545883376,-0.4447374684489799,1.0,0.8828643545883376,0.4888694630581125,28.01015696605656,574.77779901875,87.22220098125001,-5.9280116602167254e-06,311.0443998772142,-12.2292933152768,12.2292933152768,-3.280935486930981,3.280935486930981,0.0,0.0,-5.917303677195263,0.0
127,4,2,22,2013,4,662.0,496.96176752342467,496.96176752342467,165.03823247657533,-0.5588604178292846,-0.7436557564392497,-0.3669484286632724,1.0,0.7436557564392497,0.7322743873783581,41.956231842307844,496.96177722158916,165.03822277841084,-9.698164490146155e-06,442.6130725438477,-30.769092312829624,30.769092312829624,-8.25488474822251,8.25488474822251,0.0,0.0,-2.983938718223811,0.0
130,2,2,22,2013,2,662.0,628.2800522461995,628.2800522461995,33.71994775380051,-0.27613642913974773,-0.9585718436904177,-0.06991918896771088,1.0,0.9585718436904177,0.2888508536758902,16.54993482437941,628.2800547512827,33.719945248717295,-2.5050832164197345e-06,188.67630474285062,-3.013182234178447,3.013182234178447,-0.8083914798540656,0.8083914798540656,0.0,0.0,7.527428681122057,0.0
141,4,2,22,2013,4,662.0,194.62460589644667,194.62460589644667,467.37539410355333,0.18399747479117648,0.8536600175117455,0.4872468612236684,1.0,-0.8536600175117455,2.593768936369613,148.61201308611538,194.62461665231822,467.3753833476818,-1.0755871556966667e-05,834.3239136623882,-130.90822284150224,130.90822284150224,-35.12070753223504,35.12070753223504,0.0,0.0,-9.470368352532777,0.0
167,2,2,22,2013,2,662.0,185.3230249566423,185.3230249566423,476.6769750433577,0.14602261324063462,0.9854400519527953,-0.08709363024727008,1.0,-0.9854400519527953,2.97073939556394,170.21082939905895,185.32303540229486,476.67696459770514,-1.0445652549151418e-05,845.2122620235651,-134.41647182112976,134.41647182112976,-36.06191797485895,36.06191797485895,0.0,0.0,5.8003901962197135,0.0
216,2,2,22,2013,2,662.0,304.9982682938269,304.9982682938269,357.0017317061731,-0.6317172330611266,-0.09648590189178385,0.769170857605593,1.0,0.09648590189178385,1.4741600878545202,84.46315136069866,304.9982811689002,357.0017188310998,-1.2875073252871516e-05,701.6446593405668,-90.82247415725398,90.82247415725398,-24.36630398758752,24.36630398758752,0.0,0.0,7.795619605101217,0.0
219,4,2,22,2013,4,662.0,285.860923213746,285.860923213746,376.139076786254,-0.7098144692433302,0.015677066993098343,0.704214206632686,1.0,-0.015677066993098343,1.5864740360189409,90.89826657097106,285.8609359278354,376.1390640721646,-1.2714089393739414e-05,725.1854394415125,-97.54785969189331,97.54785969189331,-26.170623787189207,26.170623787189207,0.0,0.0,-2.9354537899073785,0.0
