detector_volume,emitted_events,gamma_entered_events,detected_events,absolute_interaction_efficiency,absolute_interaction_efficiency_percent,intrinsic_interaction_efficiency,intrinsic_interaction_efficiency_percent,expected_peak_keV,peak_counts_3sigma,full_energy_peak_efficiency,full_energy_peak_efficiency_percent,fitted_peak_mean_keV,fitted_sigma_keV,fitted_FWHM_keV,energy_resolution_percent
4,50000,489,178,0.00356,0.356,0.36400817995910023,36.400817995910025,564.1,0,,,,,,
5,50000,347,107,0.00214,0.214,0.30835734870317005,30.835734870317005,479.9,0,,,,,,
